metro_id,property_type,time_stamp,room_num,price
102001,2bedroom,2010-01,2,
102001,2bedroom,2010-02,2,
102001,2bedroom,2010-03,2,1350.0
102001,2bedroom,2010-04,2,1350.0
102001,2bedroom,2010-05,2,1350.0
102001,2bedroom,2010-06,2,1400.0
102001,2bedroom,2010-07,2,1300.0
102001,2bedroom,2010-08,2,1250.0
102001,2bedroom,2010-09,2,1215.0
102001,2bedroom,2010-10,2,1250.0
102001,2bedroom,2010-11,2,1250.0
102001,2bedroom,2010-12,2,1277.0
102001,2bedroom,2011-01,2,1200.0
102001,2bedroom,2011-02,2,1250.0
102001,2bedroom,2011-03,2,1300.0
102001,2bedroom,2011-04,2,1400.0
102001,2bedroom,2011-05,2,1400.0
102001,2bedroom,2011-06,2,1395.0
102001,2bedroom,2011-07,2,1395.0
102001,2bedroom,2011-08,2,1400.0
102001,2bedroom,2011-09,2,1350.0
102001,2bedroom,2011-10,2,1250.0
102001,2bedroom,2011-11,2,1200.0
102001,2bedroom,2011-12,2,1250.0
102001,2bedroom,2012-01,2,1250.0
102001,2bedroom,2012-02,2,1250.0
102001,2bedroom,2012-03,2,1300.0
102001,2bedroom,2012-04,2,1325.0
102001,2bedroom,2012-05,2,1375.0
102001,2bedroom,2012-06,2,1345.0
102001,2bedroom,2012-07,2,1318.0
102001,2bedroom,2012-08,2,1324.0
102001,2bedroom,2012-09,2,1300.0
102001,2bedroom,2012-10,2,1295.0
102001,2bedroom,2012-11,2,1300.0
102001,2bedroom,2012-12,2,1300.0
102001,2bedroom,2013-01,2,1250.0
102001,2bedroom,2013-02,2,1300.0
102001,2bedroom,2013-03,2,1350.0
102001,2bedroom,2013-04,2,1350.0
102001,2bedroom,2013-05,2,1370.0
102001,2bedroom,2013-06,2,1350.0
102001,2bedroom,2013-07,2,1404.0
102001,2bedroom,2013-08,2,1424.0
102001,2bedroom,2013-09,2,1500.0
102001,2bedroom,2013-10,2,1600.0
102001,2bedroom,2013-11,2,1500.0
102001,2bedroom,2013-12,2,1600.0
102001,2bedroom,2014-01,2,1600.0
102001,2bedroom,2014-02,2,1590.0
102001,2bedroom,2014-03,2,1599.0
102001,2bedroom,2014-04,2,1630.0
102001,2bedroom,2014-05,2,1709.0
102001,2bedroom,2014-06,2,1750.0
102001,2bedroom,2014-07,2,1550.0
102001,2bedroom,2014-08,2,1550.0
102001,2bedroom,2014-09,2,1515.0
102001,2bedroom,2014-10,2,1500.0
102001,2bedroom,2014-11,2,1495.0
102001,2bedroom,2014-12,2,1450.0
102001,2bedroom,2015-01,2,1475.0
102001,2bedroom,2015-02,2,1500.0
102001,2bedroom,2015-03,2,1525.0
102001,2bedroom,2015-04,2,1535.0
102001,2bedroom,2015-05,2,1596.0
102001,2bedroom,2015-06,2,1575.0
102001,2bedroom,2015-07,2,1595.0
102001,2bedroom,2015-08,2,1595.0
102001,2bedroom,2015-09,2,1550.0
102001,2bedroom,2015-10,2,1521.0
102001,2bedroom,2015-11,2,1505.0
102001,2bedroom,2015-12,2,1525.0
102001,2bedroom,2016-01,2,1550.0
102001,2bedroom,2016-02,2,1585.0
102001,2bedroom,2016-03,2,1600.0
102001,2bedroom,2016-04,2,1600.0
102001,2bedroom,2016-05,2,1600.0
102001,2bedroom,2016-06,2,1599.0
102001,2bedroom,2016-07,2,1650.0
102001,2bedroom,2016-08,2,1600.0
102001,2bedroom,2016-09,2,1585.0
102001,2bedroom,2016-10,2,1600.0
102001,2bedroom,2016-11,2,1638.0
102001,2bedroom,2016-12,2,1500.0
102001,2bedroom,2017-01,2,1550.0
102001,2bedroom,2017-02,2,1500.0
102001,2bedroom,2017-03,2,1531.0
102001,2bedroom,2017-04,2,1575.0
102001,2bedroom,2017-05,2,1575.0
102001,2bedroom,2017-06,2,1575.0
102001,2bedroom,2017-07,2,1575.0
102001,2bedroom,2017-08,2,1559.0
102001,2bedroom,2017-09,2,1535.0
102001,2bedroom,2017-10,2,1510.0
102001,2bedroom,2017-11,2,1500.0
102001,2bedroom,2017-12,2,1510.0
102001,2bedroom,2018-01,2,1520.0
102001,2bedroom,2018-02,2,1550.0
102001,2bedroom,2018-03,2,1581.0
102001,2bedroom,2018-04,2,1600.0
102001,2bedroom,2018-05,2,1620.0
102001,2bedroom,2018-06,2,1635.0
102001,2bedroom,2018-07,2,1649.0
102001,2bedroom,2018-08,2,1645.0
102001,2bedroom,2018-09,2,1600.0
102001,2bedroom,2018-10,2,1600.0
102001,2bedroom,2018-11,2,1600.0
102001,2bedroom,2018-12,2,1600.0
102001,2bedroom,2019-01,2,1600.0
102001,2bedroom,2019-02,2,1625.0
394913,2bedroom,2010-01,2,
394913,2bedroom,2010-02,2,
394913,2bedroom,2010-03,2,
394913,2bedroom,2010-04,2,
394913,2bedroom,2010-05,2,
394913,2bedroom,2010-06,2,
394913,2bedroom,2010-07,2,
394913,2bedroom,2010-08,2,
394913,2bedroom,2010-09,2,
394913,2bedroom,2010-10,2,
394913,2bedroom,2010-11,2,
394913,2bedroom,2010-12,2,
394913,2bedroom,2011-01,2,
394913,2bedroom,2011-02,2,
394913,2bedroom,2011-03,2,
394913,2bedroom,2011-04,2,
394913,2bedroom,2011-05,2,
394913,2bedroom,2011-06,2,
394913,2bedroom,2011-07,2,
394913,2bedroom,2011-08,2,
394913,2bedroom,2011-09,2,
394913,2bedroom,2011-10,2,
394913,2bedroom,2011-11,2,
394913,2bedroom,2011-12,2,
394913,2bedroom,2012-01,2,
394913,2bedroom,2012-02,2,
394913,2bedroom,2012-03,2,
394913,2bedroom,2012-04,2,
394913,2bedroom,2012-05,2,
394913,2bedroom,2012-06,2,
394913,2bedroom,2012-07,2,
394913,2bedroom,2012-08,2,
394913,2bedroom,2012-09,2,
394913,2bedroom,2012-10,2,
394913,2bedroom,2012-11,2,
394913,2bedroom,2012-12,2,
394913,2bedroom,2013-01,2,
394913,2bedroom,2013-02,2,
394913,2bedroom,2013-03,2,
394913,2bedroom,2013-04,2,
394913,2bedroom,2013-05,2,
394913,2bedroom,2013-06,2,
394913,2bedroom,2013-07,2,
394913,2bedroom,2013-08,2,
394913,2bedroom,2013-09,2,
394913,2bedroom,2013-10,2,
394913,2bedroom,2013-11,2,
394913,2bedroom,2013-12,2,
394913,2bedroom,2014-01,2,
394913,2bedroom,2014-02,2,
394913,2bedroom,2014-03,2,
394913,2bedroom,2014-04,2,
394913,2bedroom,2014-05,2,
394913,2bedroom,2014-06,2,
394913,2bedroom,2014-07,2,
394913,2bedroom,2014-08,2,2540.0
394913,2bedroom,2014-09,2,2595.0
394913,2bedroom,2014-10,2,2590.0
394913,2bedroom,2014-11,2,2550.0
394913,2bedroom,2014-12,2,2500.0
394913,2bedroom,2015-01,2,2500.0
394913,2bedroom,2015-02,2,2500.0
394913,2bedroom,2015-03,2,2500.0
394913,2bedroom,2015-04,2,2500.0
394913,2bedroom,2015-05,2,2595.0
394913,2bedroom,2015-06,2,2550.0
394913,2bedroom,2015-07,2,2500.0
394913,2bedroom,2015-08,2,2500.0
394913,2bedroom,2015-09,2,2500.0
394913,2bedroom,2015-10,2,2500.0
394913,2bedroom,2015-11,2,2475.0
394913,2bedroom,2015-12,2,2450.0
394913,2bedroom,2016-01,2,2400.0
394913,2bedroom,2016-02,2,2450.0
394913,2bedroom,2016-03,2,2495.0
394913,2bedroom,2016-04,2,2500.0
394913,2bedroom,2016-05,2,2500.0
394913,2bedroom,2016-06,2,2539.0
394913,2bedroom,2016-07,2,2550.0
394913,2bedroom,2016-08,2,2500.0
394913,2bedroom,2016-09,2,2595.0
394913,2bedroom,2016-10,2,2600.0
394913,2bedroom,2016-11,2,2595.0
394913,2bedroom,2016-12,2,2400.0
394913,2bedroom,2017-01,2,2400.0
394913,2bedroom,2017-02,2,2395.0
394913,2bedroom,2017-03,2,2400.0
394913,2bedroom,2017-04,2,2450.0
394913,2bedroom,2017-05,2,2500.0
394913,2bedroom,2017-06,2,2500.0
394913,2bedroom,2017-07,2,2500.0
394913,2bedroom,2017-08,2,2500.0
394913,2bedroom,2017-09,2,2492.0
394913,2bedroom,2017-10,2,2400.0
394913,2bedroom,2017-11,2,2400.0
394913,2bedroom,2017-12,2,2395.0
394913,2bedroom,2018-01,2,2375.0
394913,2bedroom,2018-02,2,2365.0
394913,2bedroom,2018-03,2,2400.0
394913,2bedroom,2018-04,2,2450.0
394913,2bedroom,2018-05,2,2500.0
394913,2bedroom,2018-06,2,2500.0
394913,2bedroom,2018-07,2,2500.0
394913,2bedroom,2018-08,2,2500.0
394913,2bedroom,2018-09,2,2499.0
394913,2bedroom,2018-10,2,2415.0
394913,2bedroom,2018-11,2,2400.0
394913,2bedroom,2018-12,2,2400.0
394913,2bedroom,2019-01,2,2400.0
394913,2bedroom,2019-02,2,2400.0
753899,2bedroom,2010-01,2,
753899,2bedroom,2010-02,2,1950.0
753899,2bedroom,2010-03,2,1900.0
753899,2bedroom,2010-04,2,1995.0
753899,2bedroom,2010-05,2,1995.0
753899,2bedroom,2010-06,2,2000.0
753899,2bedroom,2010-07,2,2100.0
753899,2bedroom,2010-08,2,2150.0
753899,2bedroom,2010-09,2,1950.0
753899,2bedroom,2010-10,2,1897.0
753899,2bedroom,2010-11,2,1900.0
753899,2bedroom,2010-12,2,1900.0
753899,2bedroom,2011-01,2,1840.0
753899,2bedroom,2011-02,2,1850.0
753899,2bedroom,2011-03,2,1840.0
753899,2bedroom,2011-04,2,1870.0
753899,2bedroom,2011-05,2,1900.0
753899,2bedroom,2011-06,2,1900.0
753899,2bedroom,2011-07,2,1900.0
753899,2bedroom,2011-08,2,1875.0
753899,2bedroom,2011-09,2,1820.0
753899,2bedroom,2011-10,2,1750.0
753899,2bedroom,2011-11,2,1700.0
753899,2bedroom,2011-12,2,1718.0
753899,2bedroom,2012-01,2,1725.0
753899,2bedroom,2012-02,2,1750.0
753899,2bedroom,2012-03,2,1789.0
753899,2bedroom,2012-04,2,1775.0
753899,2bedroom,2012-05,2,1795.0
753899,2bedroom,2012-06,2,1785.0
753899,2bedroom,2012-07,2,1770.0
753899,2bedroom,2012-08,2,1786.0
753899,2bedroom,2012-09,2,1800.0
753899,2bedroom,2012-10,2,1792.0
753899,2bedroom,2012-11,2,1780.0
753899,2bedroom,2012-12,2,1735.0
753899,2bedroom,2013-01,2,1750.0
753899,2bedroom,2013-02,2,1797.0
753899,2bedroom,2013-03,2,1815.0
753899,2bedroom,2013-04,2,1815.0
753899,2bedroom,2013-05,2,1850.0
753899,2bedroom,2013-06,2,1850.0
753899,2bedroom,2013-07,2,1845.0
753899,2bedroom,2013-08,2,1800.0
753899,2bedroom,2013-09,2,1900.0
753899,2bedroom,2013-10,2,1900.0
753899,2bedroom,2013-11,2,1800.0
753899,2bedroom,2013-12,2,1995.0
753899,2bedroom,2014-01,2,1950.0
753899,2bedroom,2014-02,2,1919.0
753899,2bedroom,2014-03,2,1900.0
753899,2bedroom,2014-04,2,1950.0
753899,2bedroom,2014-05,2,1995.0
753899,2bedroom,2014-06,2,2025.0
753899,2bedroom,2014-07,2,2090.0
753899,2bedroom,2014-08,2,2095.0
753899,2bedroom,2014-09,2,2100.0
753899,2bedroom,2014-10,2,2150.0
753899,2bedroom,2014-11,2,2145.0
753899,2bedroom,2014-12,2,2160.0
753899,2bedroom,2015-01,2,2165.0
753899,2bedroom,2015-02,2,2160.0
753899,2bedroom,2015-03,2,2155.0
753899,2bedroom,2015-04,2,2195.0
753899,2bedroom,2015-05,2,2200.0
753899,2bedroom,2015-06,2,2210.0
753899,2bedroom,2015-07,2,2215.0
753899,2bedroom,2015-08,2,2250.0
753899,2bedroom,2015-09,2,2250.0
753899,2bedroom,2015-10,2,2277.0
753899,2bedroom,2015-11,2,2300.0
753899,2bedroom,2015-12,2,2299.0
753899,2bedroom,2016-01,2,2300.0
753899,2bedroom,2016-02,2,2326.0
753899,2bedroom,2016-03,2,2365.0
753899,2bedroom,2016-04,2,2350.0
753899,2bedroom,2016-05,2,2350.0
753899,2bedroom,2016-06,2,2350.0
753899,2bedroom,2016-07,2,2329.0
753899,2bedroom,2016-08,2,2335.0
753899,2bedroom,2016-09,2,2350.0
753899,2bedroom,2016-10,2,2300.0
753899,2bedroom,2016-11,2,2325.0
753899,2bedroom,2016-12,2,2295.0
753899,2bedroom,2017-01,2,2350.0
753899,2bedroom,2017-02,2,2450.0
753899,2bedroom,2017-03,2,2495.0
753899,2bedroom,2017-04,2,2500.0
753899,2bedroom,2017-05,2,2500.0
753899,2bedroom,2017-06,2,2500.0
753899,2bedroom,2017-07,2,2495.0
753899,2bedroom,2017-08,2,2495.0
753899,2bedroom,2017-09,2,2495.0
753899,2bedroom,2017-10,2,2495.0
753899,2bedroom,2017-11,2,2475.0
753899,2bedroom,2017-12,2,2478.0
753899,2bedroom,2018-01,2,2460.0
753899,2bedroom,2018-02,2,2495.0
753899,2bedroom,2018-03,2,2500.0
753899,2bedroom,2018-04,2,2500.0
753899,2bedroom,2018-05,2,2502.0
753899,2bedroom,2018-06,2,2525.0
753899,2bedroom,2018-07,2,2550.0
753899,2bedroom,2018-08,2,2580.0
753899,2bedroom,2018-09,2,2550.0
753899,2bedroom,2018-10,2,2570.0
753899,2bedroom,2018-11,2,2570.0
753899,2bedroom,2018-12,2,2574.0
753899,2bedroom,2019-01,2,2565.0
753899,2bedroom,2019-02,2,2590.0
394463,2bedroom,2010-01,2,
394463,2bedroom,2010-02,2,
394463,2bedroom,2010-03,2,1350.0
394463,2bedroom,2010-04,2,1350.0
394463,2bedroom,2010-05,2,1350.0
394463,2bedroom,2010-06,2,1400.0
394463,2bedroom,2010-07,2,1400.0
394463,2bedroom,2010-08,2,1375.0
394463,2bedroom,2010-09,2,1361.0
394463,2bedroom,2010-10,2,1400.0
394463,2bedroom,2010-11,2,1400.0
394463,2bedroom,2010-12,2,1455.0
394463,2bedroom,2011-01,2,1425.0
394463,2bedroom,2011-02,2,1500.0
394463,2bedroom,2011-03,2,1500.0
394463,2bedroom,2011-04,2,1552.0
394463,2bedroom,2011-05,2,1595.0
394463,2bedroom,2011-06,2,1650.0
394463,2bedroom,2011-07,2,1600.0
394463,2bedroom,2011-08,2,1595.0
394463,2bedroom,2011-09,2,1600.0
394463,2bedroom,2011-10,2,1550.0
394463,2bedroom,2011-11,2,1495.0
394463,2bedroom,2011-12,2,1495.0
394463,2bedroom,2012-01,2,1495.0
394463,2bedroom,2012-02,2,1475.0
394463,2bedroom,2012-03,2,1450.0
394463,2bedroom,2012-04,2,1400.0
394463,2bedroom,2012-05,2,1425.0
394463,2bedroom,2012-06,2,1500.0
394463,2bedroom,2012-07,2,1490.0
394463,2bedroom,2012-08,2,1480.0
394463,2bedroom,2012-09,2,1495.0
394463,2bedroom,2012-10,2,1500.0
394463,2bedroom,2012-11,2,1450.0
394463,2bedroom,2012-12,2,1495.0
394463,2bedroom,2013-01,2,1454.0
394463,2bedroom,2013-02,2,1550.0
394463,2bedroom,2013-03,2,1500.0
394463,2bedroom,2013-04,2,1500.0
394463,2bedroom,2013-05,2,1600.0
394463,2bedroom,2013-06,2,1640.0
394463,2bedroom,2013-07,2,1650.0
394463,2bedroom,2013-08,2,1662.0
394463,2bedroom,2013-09,2,1650.0
394463,2bedroom,2013-10,2,1595.0
394463,2bedroom,2013-11,2,1600.0
394463,2bedroom,2013-12,2,1695.0
394463,2bedroom,2014-01,2,1550.0
394463,2bedroom,2014-02,2,1500.0
394463,2bedroom,2014-03,2,1500.0
394463,2bedroom,2014-04,2,1550.0
394463,2bedroom,2014-05,2,1600.0
394463,2bedroom,2014-06,2,1600.0
394463,2bedroom,2014-07,2,1695.0
394463,2bedroom,2014-08,2,1600.0
394463,2bedroom,2014-09,2,1695.0
394463,2bedroom,2014-10,2,1650.0
394463,2bedroom,2014-11,2,1600.0
394463,2bedroom,2014-12,2,1495.0
394463,2bedroom,2015-01,2,1500.0
394463,2bedroom,2015-02,2,1625.0
394463,2bedroom,2015-03,2,1550.0
394463,2bedroom,2015-04,2,1600.0
394463,2bedroom,2015-05,2,1600.0
394463,2bedroom,2015-06,2,1600.0
394463,2bedroom,2015-07,2,1600.0
394463,2bedroom,2015-08,2,1600.0
394463,2bedroom,2015-09,2,1650.0
394463,2bedroom,2015-10,2,1640.0
394463,2bedroom,2015-11,2,1695.0
394463,2bedroom,2015-12,2,1600.0
394463,2bedroom,2016-01,2,1595.0
394463,2bedroom,2016-02,2,1695.0
394463,2bedroom,2016-03,2,1600.0
394463,2bedroom,2016-04,2,1600.0
394463,2bedroom,2016-05,2,1650.0
394463,2bedroom,2016-06,2,1650.0
394463,2bedroom,2016-07,2,1625.0
394463,2bedroom,2016-08,2,1600.0
394463,2bedroom,2016-09,2,1585.0
394463,2bedroom,2016-10,2,1550.0
394463,2bedroom,2016-11,2,1500.0
394463,2bedroom,2016-12,2,1530.0
394463,2bedroom,2017-01,2,1550.0
394463,2bedroom,2017-02,2,1550.0
394463,2bedroom,2017-03,2,1595.0
394463,2bedroom,2017-04,2,1600.0
394463,2bedroom,2017-05,2,1635.0
394463,2bedroom,2017-06,2,1640.0
394463,2bedroom,2017-07,2,1610.0
394463,2bedroom,2017-08,2,1600.0
394463,2bedroom,2017-09,2,1600.0
394463,2bedroom,2017-10,2,1595.0
394463,2bedroom,2017-11,2,1595.0
394463,2bedroom,2017-12,2,1595.0
394463,2bedroom,2018-01,2,1595.0
394463,2bedroom,2018-02,2,1621.0
394463,2bedroom,2018-03,2,1665.0
394463,2bedroom,2018-04,2,1695.0
394463,2bedroom,2018-05,2,1700.0
394463,2bedroom,2018-06,2,1725.0
394463,2bedroom,2018-07,2,1700.0
394463,2bedroom,2018-08,2,1700.0
394463,2bedroom,2018-09,2,1750.0
394463,2bedroom,2018-10,2,1695.0
394463,2bedroom,2018-11,2,1696.0
394463,2bedroom,2018-12,2,1700.0
394463,2bedroom,2019-01,2,1750.0
394463,2bedroom,2019-02,2,1770.0
394514,2bedroom,2010-01,2,
394514,2bedroom,2010-02,2,
394514,2bedroom,2010-03,2,
394514,2bedroom,2010-04,2,
394514,2bedroom,2010-05,2,
394514,2bedroom,2010-06,2,
394514,2bedroom,2010-07,2,
394514,2bedroom,2010-08,2,
394514,2bedroom,2010-09,2,
394514,2bedroom,2010-10,2,
394514,2bedroom,2010-11,2,
394514,2bedroom,2010-12,2,
394514,2bedroom,2011-01,2,
394514,2bedroom,2011-02,2,995.0
394514,2bedroom,2011-03,2,1000.0
394514,2bedroom,2011-04,2,975.0
394514,2bedroom,2011-05,2,981.0
394514,2bedroom,2011-06,2,995.0
394514,2bedroom,2011-07,2,995.0
394514,2bedroom,2011-08,2,950.0
394514,2bedroom,2011-09,2,945.0
394514,2bedroom,2011-10,2,900.0
394514,2bedroom,2011-11,2,899.0
394514,2bedroom,2011-12,2,950.0
394514,2bedroom,2012-01,2,951.0
394514,2bedroom,2012-02,2,963.0
394514,2bedroom,2012-03,2,1005.0
394514,2bedroom,2012-04,2,966.0
394514,2bedroom,2012-05,2,995.0
394514,2bedroom,2012-06,2,1005.0
394514,2bedroom,2012-07,2,1000.0
394514,2bedroom,2012-08,2,1002.0
394514,2bedroom,2012-09,2,1020.0
394514,2bedroom,2012-10,2,1029.0
394514,2bedroom,2012-11,2,1030.0
394514,2bedroom,2012-12,2,1095.0
394514,2bedroom,2013-01,2,1188.0
394514,2bedroom,2013-02,2,1095.0
394514,2bedroom,2013-03,2,1125.0
394514,2bedroom,2013-04,2,1110.0
394514,2bedroom,2013-05,2,1151.0
394514,2bedroom,2013-06,2,1180.0
394514,2bedroom,2013-07,2,1186.0
394514,2bedroom,2013-08,2,1064.0
394514,2bedroom,2013-09,2,1200.0
394514,2bedroom,2013-10,2,1340.0
394514,2bedroom,2013-11,2,1350.0
394514,2bedroom,2013-12,2,1350.0
394514,2bedroom,2014-01,2,1299.0
394514,2bedroom,2014-02,2,1250.0
394514,2bedroom,2014-03,2,1279.0
394514,2bedroom,2014-04,2,1326.0
394514,2bedroom,2014-05,2,1250.0
394514,2bedroom,2014-06,2,1250.0
394514,2bedroom,2014-07,2,1239.0
394514,2bedroom,2014-08,2,1225.0
394514,2bedroom,2014-09,2,1200.0
394514,2bedroom,2014-10,2,1195.0
394514,2bedroom,2014-11,2,1251.0
394514,2bedroom,2014-12,2,1269.0
394514,2bedroom,2015-01,2,1259.0
394514,2bedroom,2015-02,2,1250.0
