"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02"
"United States",0,,,1350,1350,1350,1400,1300,1250,1215,1250,1250,1277.5,1200,1250,1300,1400,1400,1395,1395,1400,1350,1250,1200,1250,1250,1250,1300,1325,1375,1345,1318,1324,1300,1295,1300,1300,1250,1300,1350,1350,1370,1350,1404,1424,1500,1600,1500,1600,1600,1590,1599,1630,1709,1750,1550,1550,1515,1500,1495,1450,1475,1500,1525,1535,1596,1575,1595,1595,1550,1521,1505,1525,1550,1585,1600,1600,1600,1599,1650,1600,1585,1600,1638,1500,1550,1500,1531,1575,1575,1575,1575,1559.5,1535,1510,1500,1510,1520,1550,1581,1600,1620,1635,1649,1645,1600,1600,1600,1600,1600,1625
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2540,2595,2590,2550,2500,2500,2500,2500,2500,2595,2550,2500,2500,2500,2500,2475,2450,2400,2450,2495,2500,2500,2539,2550,2500,2595,2600,2595,2400,2400,2395,2400,2450,2500,2500,2500,2500,2492.5,2400,2400,2395,2375,2365,2400,2450,2500,2500,2500,2500,2499,2415,2400,2400,2400,2400
"Los Angeles-Long Beach-Anaheim, CA",2,,1950,1900,1995,1995,2000,2100,2150,1950,1897,1900,1900,1840,1850,1840,1870,1900,1900,1900,1875,1820,1750,1700,1718.5,1725,1750,1789,1775,1795,1785,1770,1786,1800,1792,1780,1735,1750,1797,1815,1815,1850,1850,1845,1800,1900,1900,1800,1995,1950,1919.5,1900,1950,1995,2025,2090,2095,2100,2150,2145,2160,2165,2160,2155,2195,2200,2210,2215.5,2250,2250,2277,2300,2299,2300,2326.5,2365,2350,2350,2350,2329,2335,2350,2300,2325,2295,2350,2450,2495,2500,2500,2500,2495,2495,2495,2495,2475,2478,2460,2495,2500,2500,2502,2525,2550,2580,2550,2570,2570,2574,2565,2590
"Chicago, IL",3,,,1350,1350,1350,1400,1400,1375,1361,1400,1400,1455,1425,1500,1500,1552.5,1595,1650,1600,1595,1600,1550,1495,1495,1495,1475,1450,1400,1425,1500,1490,1480,1495,1500,1450,1495,1454,1550,1500,1500,1600,1640,1650,1662,1650,1595,1600,1695,1550,1500,1500,1550,1600,1600,1695,1600,1695,1650,1600,1495,1500,1625,1550,1600,1600,1600,1600,1600,1650,1640,1695,1600,1595,1695,1600,1600,1650,1650,1625,1600,1585,1550,1500,1530,1550,1550,1595,1600,1635,1640,1610,1600,1600,1595,1595,1595,1595,1621,1665,1695,1700,1725,1700,1700,1750,1695,1696,1700,1750,1770
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,995,1000,975,981,995,995,950,945,900,899,950,951.5,963,1005,966.5,995,1005,1000,1002,1020,1029,1030,1095,1188,1095,1125,1110,1151,1180,1186,1064,1200.5,1340,1350,1350,1299,1250,1279,1326,1250,1250.5,1239,1225,1200,1195,1251,1269,1259,1250,1241,1260,1269,1279.5,1291.5,1300,1295,1310,1315,1329,1361,1389,1408,1398,1395,1390,1382,1369,1412,1370,1345,1295,1405.5,1411,1469,1500,1500,1540,1514,1518,1492.5,1450,1485,1494,1490,1542,1550,1560,1578,1575,1591,1595,1588,1608,1599,1600,1591,1595
"Philadelphia, PA",5,,1225,1200,1200,1250,1300,1350,1350,1250,1250,1245,1210,1200,1200,1200,1250,1250,1250,1250,1250,1250,1200,1200,1250,1255,1265,1275,1300,1300,1299,1295,1250,1240,1225,1210,1200,1200,1200,1250,1250,1300,1300,1250,1250,1295,1250,1250,1267.5,1250,1225,1207,1250,1300,1310,1300,1300,1299,1300,1300,1293,1275,1295,1300,1325,1350,1350,1332,1350,1325,1300,1325,1300,1355,1370,1385,1400,1411,1400,1390,1395,1400,1365,1355,1360,1375,1400,1440,1450,1495,1480,1489,1495,1495,1450,1450,1425,1435,1440,1490,1500,1550,1550,1550,1550,1524,1500,1500,1500,1530,1571
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,1210,1337,1207,1159,1206,1277,1275,1275,1265,1289,1325,1250,1261,1269,1259,1300,1350,1375,1395,1395,1379.5,1375,1375,1489,1473,1490,1450,1480,1459,1429,1415,1400,1369,1390,1319,1310,1300,1360,1400,1391,1400,1435,1405,1416,1437,1459,1445,1450,1450,1439,1470,1489,1500,1500,1500,1499,1500,1489,1468,1455,1450,1446,1450
"Washington, DC",7,,1600,1550,1595,1550,1600,1595,1595,1550,1550,1550,1582,1570,1550,1550,1650,1650,1650,1650,1752.5,1800,1750,1675,1705,1710,1717,1770,1800,1891.5,1850,1789,1740,1730,1784,1837,1855,1890,1910,1925,1894,1800,1849,1850.5,1906.5,1925,1899.5,1900,1840,1875,1859,1849,1875,1939,1955,2010,2014,1965,1914,1910,1900,1900,1969,1948,1975,1960,1950,1950,1950,1950,1900,1880,1850,1900,1925,1950,1950,1924,1908,1889,1850,1827,1813.5,1811.5,1871,1905,1975,1990,1996,1982,1987,1970,1966,1907,1915,1948,1934,1940,1950,1975,1995,2020,2045,2030,2034,1989,2030,2022,2060,2075,2050
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,1750,1750,1750,1600,1600,1550,1550,1550,1500,1500,1500,1500,1500,1500,1500,1450,1450,1499,1450,1450,1500,1475,1495,1450,1400,1400,1400,1425,1425,1450,1450,1500,1500,1625,1600,1600,1650,1650,1700,1670,1650,1600,1600,1650,1600,1600,1600,1650,1650,1600,1600,1625,1650,1700,1700,1750,1800,1800,1834,1800,1800,1845,1850,1850,1850,1900,1800,1800,1800,1750,1750,1800,1795,1874.5,1700,1800,1800,1820,1800,1850,1847,1820.5,1850,1880,1875,1878,1895,1890,1900,1900,1950,1950,1950,1950,1950,1950,1995,1980,1970,1950,1950
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309,1316.5,1305.5,1321.5,1333,1175,1275,1250,1248,1285,1200,1200,1200,1253,1280,1318,1350,1384,1365,1375,1390,1395.5,1389,1379,1383,1400,1420,1446,1472,1480,1475,1495,1505,1476,1558,1550,1540,1545,1584
