"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02"
"United States",0,,2100,2100,2095,2200,2000,1992.5,1950,1995,1965,2000,1850,1850,1895,1995,1995,1975,1950,1950,1850,1800,1800,1800,1800,1875,1950,1995,2050,1950,1900,1850,1800,1800,1800,1800,1800,1850,1895,1900,1900,1825,1900,1850,1850,1890,1850,1890,1850,1850,1850,1900,2000,2150,1995,1950,1900,1850,1850,1850,1900,1900,1975,1995,2000,2000,2000,2000,1995,1950,1950,1995,2000,2100,2195,2200,2200,2200,2195,2195,2100,2000,2000,1950,2000,2050,2100,2200,2200,2200,2200,2177,2100,2020,2000,2095,2150,2250,2300,2400,2400,2400,2365,2300,2200,2195,2195,2200,2300,2450
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5995,5800,5000,4897,4500,4495,4173.5,4085,4500,4492,4600
"Los Angeles-Long Beach-Anaheim, CA",2,,3295,3500,3500,3500,3500,3500,3350,3300,3295,3400,3200,3200,3172.5,3300,3200,3200,3100,3100,3000,3000,3000,3000,3000,3000,2995,2850,2900,2995,2950,2850,2800,2700,2650,2600,2695,2750,2700,2700,2695,2750,2800,2750,2800,2780,2700,2850,2800,2750,2795,2800,2900,3000,3150,3100,3100,3100,3100,3150,3150,3195,3100,3200,3300,3300,3300,3350,3300,3300,3300,3300,3300,3395,3495,3400,3397.5,3500,3450,3300,3395,3300,3500,3256.5,3399,3500,3600,3685,3700,3695,3600,3600,3650,3600,3596.5,3550,3586,3600,3600,3700,3800,3800,3800,3750,3750,3700,3750,3750,3700,3750
"Chicago, IL",3,2500,2300,2300,2300,2200,2300,2300,2100,2300,2200,2400,2075,2100,2150,2200,2400,2425,2350,2300,2200,2100,2000,2000,2000,2050,2100,2097.5,2100,2200,2176,2100,1995,1948,1834,1900,1850,1850,2000,1950,2100,2100,2200,2000,1952.5,1900,1850,1950,1895,1850,1895,1950,2149,2200,2200,2200,2195,2100,2100,2100,2069,2025,2100,2100,2250,2375,2300,2200,2097,2000,2000,1975,1995,1995,2095,2150,2225,2300,2300,2200,2000,1950,1950,1900,1850,1952,2000,2200,2350,2390,2400,2295,2150,2000,1995,2000,2000,2100,2250,2400,2545,2700,2500,2400,2300,2200,2200,2200,2250,2250
"Dallas-Fort Worth, TX",4,,1495,1597.5,1825,1862.5,1800,1697.5,1700,1895,1775,1800,1675,1650,1650,1650,1695,1675,1650,1650,1600,1599,1595,1575,1595,1595,1600,1595,1600,1600,1600,1599.5,1595,1595,1595,1550,1575,1595,1595,1595,1625,1625,1650,1650,1650,1600,1595,1600,1600,1600,1600,1600,1695,1750,1775,1750,1700,1700,1725,1750,1750,1750,1795,1795,1800,1827.5,1850,1850,1850,1800,1800,1800,1800,1800,1850,1875,1895,1895,1895,1895,1875,1875,1895,1845,1875,1875,1900,1950,1995,1995,1995,1995,1995,1945,1900,1925,1900,1950,1950,1995,1995,2000,2000,1995,1995,1995,1995,1995,1995,1995
"Philadelphia, PA",5,,,,,,,,,,,,,1900,1900,1950,2000,2000,1972.5,1950,1895,1845,1850,1950,1937.5,2000,2000,2000,2000,2000,1950,1950,1900,1950,1899.5,1875,1809.5,1995,2000,2000,2100,2100,2000,2000,1900,1900,1900,2000,1950,1900,1950,2000,2000,2000,2000,1950,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,1999.5,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1997,1950,2000,2000,1900,2000,2000,2000,2000,2000,2000,2000,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2050,2100,2100,2099,2197.5
"Houston, TX",6,,,1700,1762.5,2000,1797.5,1750,1650,1600,1600,1600,1695,1650,1650,1692.5,1700,1650,1600,1600,1585,1550,1600,1600,1595,1595,1650,1550,1550,1600,1600,1600,1595,1495,1519,1550,1550,1500,1600,1650,1695,1700,1722.5,1750,1750,1750,1700,1750,1709.5,1600,1600,1650,1795,1800,1875,1900,1850,1800,1800,1800,1800,1800,1850,1850,1900,1900,1900,1900,1900,1850,1875,1850,1825,1850,1895,1950,1895,1900,1850,1897,1850,1800,1795,1750,1800,1800,1800,1850,1850,1850,1850,1850,1850,1830,1820,1850,1800,1800,1850,1895,1900,1900,1900,1895,1850,1800,1800,1800,1825,1825
"Washington, DC",7,,2300,2200,2300,2400,2450,2400,2300,2400,2400,2495,2400,2350,2300,2400,2450,2500,2495,2495,2475,2450,2400,2400,2400,2400,2400,2400,2495,2500,2500,2450,2400,2400,2400,2400,2350,2400,2395,2400,2400,2400,2500,2500,2500,2500,2475,2400,2400,2395,2350,2400,2500,2550,2600,2500,2500,2500,2500,2500,2475,2495,2500,2550,2600,2650,2600,2600,2550,2500,2500,2500,2500,2550,2600,2600,2600,2600,2600,2600,2500,2550,2500,2500,2500,2650,2600,2700,2750,2750,2795,2700,2700,2650,2641,2650,2695,2650,2600,2700,2800,2795,2750,2700,2600,2600,2600,2650,2600,2700
"Miami-Fort Lauderdale, FL",8,,,,,,,2500,2500,2600,2500,2500,2450,2500,2500,2500,2500,2500,2500,2499,2450,2400,2400,2350,2400,2400,2400,2400,2400,2500,2400,2400,2400,2400,2400,2350,2350,2350,2400,2400,2450,2450,2500,2477.5,2485,2500,2500,2495,2450,2400,2400,2400,2495,2500,2500,2500,2500,2495,2500,2500,2500,2500,2500,2500,2550,2500,2595,2600,2600,2577.5,2600,2600,2600,2600,2650,2600,2635,2650,2600,2600,2500,2581,2600,2500,2550,2600,2640,2695,2700,2700,2700,2725,2725,2750,2750,2750,2750,2750,2750,2750,2799,2800,2800,2780,2750,2769.5,2750,2750,2750,2750
"Atlanta, GA",9,,1495,1500,1500,1500,1550,1595,1550,1500,1500,1500,1400,1400,1400,1400,1450,1475,1400,1400,1395,1395,1350,1350,1300,1300,1350,1300,1350,1375,1350,1300,1300,1300,1300,1295,1295,1300,1300,1300,1300,1317.5,1350,1300,1337.5,1350,1300,1300,1300,1295,1295,1300,1350,1375,1375,1395,1375,1375,1392.5,1395,1395,1400,1425,1450,1495,1499,1495,1499,1469.5,1450,1450,1495,1495,1480,1495,1500,1545,1550,1550,1550,1550,1549,1555,1500,1550,1550,1595,1600,1650,1695,1695,1650,1645,1610,1600,1623,1645,1650,1650,1700,1712,1745,1720,1713,1699,1695,1695,1700,1700,1700
