state_code,year,population
United States,2010,309326085
United States,2011,311580009
United States,2012,313874218
United States,2013,316057727
United States,2014,318386421
United States,2015,320742673
United States,2016,323071342
United States,2017,325147121
United States,2018,327167434
AL,2010,4785448
AL,2011,4798834
AL,2012,4815564
AL,2013,4830460
AL,2014,4842481
AL,2015,4853160
AL,2016,4864745
AL,2017,4875120
AL,2018,4887871
AK,2010,713906
AK,2011,722038
AK,2012,730399
AK,2013,737045
AK,2014,736307
AK,2015,737547
AK,2016,741504
AK,2017,739786
AK,2018,737438
AZ,2010,6407774
AZ,2011,6473497
AZ,2012,6556629
AZ,2013,6634999
AZ,2014,6733840
AZ,2015,6833596
AZ,2016,6945452
AZ,2017,7048876
AZ,2018,7171646
AR,2010,2921978
AR,2011,2940407
AR,2012,2952109
AR,2013,2959549
AR,2014,2967726
AR,2015,2978407
AR,2016,2990410
AR,2017,3002997
AR,2018,3013825
CA,2010,37320903
CA,2011,37641823
CA,2012,37960782
CA,2013,38280824
CA,2014,38625139
CA,2015,38953142
CA,2016,39209127
CA,2017,39399349
CA,2018,39557045
CO,2010,5048281
CO,2011,5121771
CO,2012,5193721
CO,2013,5270482
CO,2014,5351218
CO,2015,5452107
CO,2016,5540921
CO,2017,5615902
CO,2018,5695564
CT,2010,3579125
CT,2011,3588023
CT,2012,3594395
CT,2013,3594915
CT,2014,3594783
CT,2015,3587509
CT,2016,3578674
CT,2017,3573880
CT,2018,3572665
DE,2010,899595
DE,2011,907316
DE,2012,915188
DE,2013,923638
DE,2014,932596
DE,2015,941413
DE,2016,949216
DE,2017,957078
DE,2018,967171
DC,2010,605085
DC,2011,619602
DC,2012,634725
DC,2013,650431
DC,2014,662513
DC,2015,675254
DC,2016,686575
DC,2017,695691
DC,2018,702455
FL,2010,18845785
FL,2011,19093352
FL,2012,19326230
FL,2013,19563166
FL,2014,19860330
FL,2015,20224249
FL,2016,20629982
FL,2017,20976812
FL,2018,21299325
GA,2010,9711810
GA,2011,9801578
GA,2012,9901496
GA,2013,9973326
GA,2014,10069001
GA,2015,10181111
GA,2016,10304763
GA,2017,10413055
GA,2018,10519475
HI,2010,1363963
HI,2011,1379252
HI,2012,1394905
HI,2013,1408453
HI,2014,1414862
HI,2015,1422484
HI,2016,1428105
HI,2017,1424203
HI,2018,1420491
ID,2010,1570773
ID,2011,1583828
ID,2012,1595441
ID,2013,1611530
ID,2014,1631479
ID,2015,1651523
ID,2016,1682930
ID,2017,1718904
ID,2018,1754208
IL,2010,12840762
IL,2011,12867291
IL,2012,12884119
IL,2013,12898269
IL,2014,12888962
IL,2015,12864342
IL,2016,12826895
IL,2017,12786196
IL,2018,12741080
IN,2010,6490436
IN,2011,6516045
IN,2012,6537640
IN,2013,6568367
IN,2014,6593533
IN,2015,6608296
IN,2016,6633344
IN,2017,6660082
IN,2018,6691878
IA,2010,3050767
IA,2011,3066054
IA,2012,3076097
IA,2013,3093078
IA,2014,3109504
IA,2015,3121460
IA,2016,3131785
IA,2017,3143637
IA,2018,3156145
KS,2010,2858213
KS,2011,2869035
