metro_id,time_stamp,ptr_ratio
102001,2010-10,10.68
102001,2010-11,10.65
102001,2010-12,10.59
102001,2011-01,10.56
102001,2011-02,10.53
102001,2011-03,10.46
102001,2011-04,10.42
102001,2011-05,10.34
102001,2011-06,10.25
102001,2011-07,10.2
102001,2011-08,10.15
102001,2011-09,10.15
102001,2011-10,10.18
102001,2011-11,10.21
102001,2011-12,10.23
102001,2012-01,10.25
102001,2012-02,10.24
102001,2012-03,10.23
102001,2012-04,10.22
102001,2012-05,10.19
102001,2012-06,10.18
102001,2012-07,10.18
102001,2012-08,10.18
102001,2012-09,10.2
102001,2012-10,10.24
102001,2012-11,10.27
102001,2012-12,10.31
102001,2013-01,10.36
102001,2013-02,10.39
102001,2013-03,10.44
102001,2013-04,10.45
102001,2013-05,10.44
102001,2013-06,10.45
102001,2013-07,10.48
102001,2013-08,10.49
102001,2013-09,10.52
102001,2013-10,10.57
102001,2013-11,10.65
102001,2013-12,10.72
102001,2014-01,10.82
102001,2014-02,10.9
102001,2014-03,10.96
102001,2014-04,10.96
102001,2014-05,10.96
102001,2014-06,10.97
102001,2014-07,10.85
102001,2014-08,10.77
102001,2014-09,10.74
102001,2014-10,10.74
102001,2014-11,10.77
102001,2014-12,10.78
102001,2015-01,10.78
102001,2015-02,10.8
102001,2015-03,10.81
102001,2015-04,10.79
102001,2015-05,10.76
102001,2015-06,10.73
102001,2015-07,10.69
102001,2015-08,10.69
102001,2015-09,10.78
102001,2015-10,10.86
102001,2015-11,10.94
102001,2015-12,10.99
102001,2016-01,10.94
102001,2016-02,10.96
102001,2016-03,10.94
102001,2016-04,10.93
102001,2016-05,10.9
102001,2016-06,10.93
102001,2016-07,10.97
102001,2016-08,11.02
102001,2016-09,11.09
102001,2016-10,11.15
102001,2016-11,11.25
102001,2016-12,11.35
102001,2017-01,11.41
102001,2017-02,11.44
102001,2017-03,11.46
102001,2017-04,11.43
102001,2017-05,11.42
102001,2017-06,11.4
102001,2017-07,11.38
102001,2017-08,11.41
102001,2017-09,11.46
102001,2017-10,11.72
102001,2017-11,11.79
102001,2017-12,11.86
102001,2018-01,11.89
102001,2018-02,11.92
102001,2018-03,11.95
102001,2018-04,11.99
102001,2018-05,12.12
102001,2018-06,12.21
102001,2018-07,12.28
102001,2018-08,12.32
102001,2018-09,12.32
102001,2018-10,12.29
102001,2018-11,12.19
102001,2018-12,12.22
102001,2019-01,12.23
102001,2019-02,12.24
394913,2010-10,14.31
394913,2010-11,14.28
394913,2010-12,14.15
394913,2011-01,14.11
394913,2011-02,13.99
394913,2011-03,13.89
394913,2011-04,13.8
394913,2011-05,13.72
394913,2011-06,13.62
394913,2011-07,13.56
394913,2011-08,13.41
394913,2011-09,13.38
394913,2011-10,13.39
394913,2011-11,13.42
394913,2011-12,13.46
394913,2012-01,13.49
394913,2012-02,13.44
394913,2012-03,13.35
394913,2012-04,13.29
394913,2012-05,13.15
394913,2012-06,13.06
394913,2012-07,13.03
394913,2012-08,13.03
394913,2012-09,13.07
394913,2012-10,13.19
394913,2012-11,13.25
394913,2012-12,13.25
394913,2013-01,13.26
394913,2013-02,13.21
394913,2013-03,13.21
394913,2013-04,13.08
394913,2013-05,12.96
394913,2013-06,12.87
394913,2013-07,12.85
394913,2013-08,12.79
394913,2013-09,12.79
394913,2013-10,12.92
394913,2013-11,13.09
394913,2013-12,13.24
394913,2014-01,13.4
394913,2014-02,13.43
394913,2014-03,13.46
394913,2014-04,13.54
394913,2014-05,13.51
394913,2014-06,13.6
394913,2014-07,13.32
394913,2014-08,13.23
394913,2014-09,13.19
394913,2014-10,13.19
394913,2014-11,13.25
394913,2014-12,13.34
394913,2015-01,13.26
394913,2015-02,13.23
394913,2015-03,13.25
394913,2015-04,13.13
394913,2015-05,12.99
394913,2015-06,12.91
394913,2015-07,12.74
394913,2015-08,12.64
394913,2015-09,12.69
394913,2015-10,12.74
394913,2015-11,12.83
394913,2015-12,12.95
394913,2016-01,12.92
394913,2016-02,12.82
394913,2016-03,12.84
394913,2016-04,12.89
394913,2016-05,12.69
394913,2016-06,12.65
394913,2016-07,12.65
394913,2016-08,12.7
394913,2016-09,12.78
394913,2016-10,12.88
394913,2016-11,13.0
394913,2016-12,13.15
394913,2017-01,13.23
394913,2017-02,13.29
394913,2017-03,13.38
394913,2017-04,13.4
394913,2017-05,13.47
394913,2017-06,13.43
394913,2017-07,13.41
394913,2017-08,13.41
394913,2017-09,13.45
394913,2017-10,13.87
394913,2017-11,13.87
394913,2017-12,13.99
394913,2018-01,14.05
394913,2018-02,14.11
394913,2018-03,14.12
394913,2018-04,14.17
394913,2018-05,14.29
394913,2018-06,14.42
394913,2018-07,14.51
394913,2018-08,14.42
394913,2018-09,14.3
394913,2018-10,14.21
394913,2018-11,14.19
394913,2018-12,14.24
394913,2019-01,14.23
394913,2019-02,14.2
753899,2010-10,15.82
753899,2010-11,15.75
753899,2010-12,15.71
753899,2011-01,15.55
753899,2011-02,15.48
753899,2011-03,15.38
753899,2011-04,15.34
753899,2011-05,15.23
753899,2011-06,15.12
753899,2011-07,14.94
753899,2011-08,14.92
753899,2011-09,14.83
753899,2011-10,14.8
753899,2011-11,14.81
753899,2011-12,14.83
753899,2012-01,14.78
753899,2012-02,14.77
753899,2012-03,14.73
753899,2012-04,14.78
753899,2012-05,14.83
753899,2012-06,14.88
753899,2012-07,14.91
753899,2012-08,15.05
753899,2012-09,15.15
753899,2012-10,15.31
753899,2012-11,15.47
753899,2012-12,15.59
753899,2013-01,15.74
753899,2013-02,15.98
753899,2013-03,16.21
753899,2013-04,16.48
753899,2013-05,16.75
753899,2013-06,17.02
753899,2013-07,17.17
753899,2013-08,17.41
753899,2013-09,17.55
753899,2013-10,17.67
753899,2013-11,17.82
753899,2013-12,17.97
753899,2014-01,18.02
753899,2014-02,18.18
753899,2014-03,18.2
753899,2014-04,18.29
753899,2014-05,18.38
753899,2014-06,18.34
753899,2014-07,18.16
753899,2014-08,18.03
753899,2014-09,17.95
753899,2014-10,17.88
753899,2014-11,17.83
753899,2014-12,17.74
753899,2015-01,17.69
753899,2015-02,17.71
753899,2015-03,17.74
753899,2015-04,17.79
753899,2015-05,17.82
753899,2015-06,17.73
753899,2015-07,17.8
753899,2015-08,17.79
753899,2015-09,17.88
753899,2015-10,17.89
753899,2015-11,17.89
753899,2015-12,17.94
753899,2016-01,17.86
753899,2016-02,17.77
753899,2016-03,17.75
753899,2016-04,17.76
753899,2016-05,17.81
753899,2016-06,17.79
753899,2016-07,17.81
753899,2016-08,17.8
753899,2016-09,17.86
753899,2016-10,17.9
753899,2016-11,18.05
753899,2016-12,18.16
753899,2017-01,18.2
753899,2017-02,18.2
753899,2017-03,18.21
753899,2017-04,18.2
753899,2017-05,18.23
753899,2017-06,18.27
753899,2017-07,18.26
753899,2017-08,18.33
753899,2017-09,18.47
753899,2017-10,18.65
753899,2017-11,18.69
753899,2017-12,18.72
753899,2018-01,18.68
753899,2018-02,18.7
753899,2018-03,18.83
753899,2018-04,18.96
753899,2018-05,19.11
753899,2018-06,19.2
753899,2018-07,19.28
753899,2018-08,19.48
753899,2018-09,19.42
753899,2018-10,19.38
753899,2018-11,19.23
753899,2018-12,19.18
753899,2019-01,19.18
753899,2019-02,19.11
394463,2010-10,10.4
394463,2010-11,10.3
394463,2010-12,10.26
394463,2011-01,10.18
394463,2011-02,10.14
394463,2011-03,10.08
394463,2011-04,9.96
394463,2011-05,9.83
394463,2011-06,9.77
394463,2011-07,9.68
394463,2011-08,9.6
394463,2011-09,9.55
394463,2011-10,9.57
394463,2011-11,9.56
394463,2011-12,9.52
394463,2012-01,9.52
394463,2012-02,9.42
394463,2012-03,9.33
394463,2012-04,9.29
394463,2012-05,9.22
394463,2012-06,9.22
394463,2012-07,9.23
394463,2012-08,9.2
394463,2012-09,9.15
394463,2012-10,9.12
394463,2012-11,9.13
394463,2012-12,9.11
394463,2013-01,9.14
394463,2013-02,9.19
394463,2013-03,9.18
394463,2013-04,9.15
394463,2013-05,9.16
394463,2013-06,9.22
394463,2013-07,9.3
394463,2013-08,9.36
394463,2013-09,9.46
394463,2013-10,9.49
394463,2013-11,9.56
394463,2013-12,9.56
394463,2014-01,9.57
394463,2014-02,9.63
394463,2014-03,9.66
394463,2014-04,9.7
394463,2014-05,9.67
394463,2014-06,9.68
394463,2014-07,9.56
394463,2014-08,9.53
394463,2014-09,9.53
394463,2014-10,9.55
394463,2014-11,9.59
394463,2014-12,9.65
394463,2015-01,9.67
394463,2015-02,9.66
394463,2015-03,9.67
394463,2015-04,9.65
394463,2015-05,9.66
394463,2015-06,9.61
394463,2015-07,9.6
394463,2015-08,9.55
394463,2015-09,9.61
394463,2015-10,9.68
394463,2015-11,9.75
394463,2015-12,9.87
394463,2016-01,9.8
394463,2016-02,9.84
394463,2016-03,9.84
394463,2016-04,9.86
394463,2016-05,9.89
394463,2016-06,9.92
394463,2016-07,9.98
394463,2016-08,9.97
394463,2016-09,10.0
394463,2016-10,10.05
394463,2016-11,10.18
394463,2016-12,10.31
394463,2017-01,10.41
394463,2017-02,10.45
394463,2017-03,10.45
394463,2017-04,10.39
394463,2017-05,10.37
394463,2017-06,10.37
394463,2017-07,10.36
394463,2017-08,10.37
394463,2017-09,10.37
394463,2017-10,10.6
394463,2017-11,10.64
394463,2017-12,10.7
394463,2018-01,10.73
394463,2018-02,10.75
394463,2018-03,10.82
394463,2018-04,10.89
394463,2018-05,11.02
394463,2018-06,11.12
394463,2018-07,11.18
394463,2018-08,11.17
394463,2018-09,11.15
394463,2018-10,11.14
394463,2018-11,11.02
394463,2018-12,11.05
394463,2019-01,11.05
394463,2019-02,11.02
394514,2010-10,8.45
394514,2010-11,8.42
394514,2010-12,8.39
394514,2011-01,8.34
394514,2011-02,8.33
394514,2011-03,8.34
394514,2011-04,8.32
394514,2011-05,8.29
394514,2011-06,8.26
394514,2011-07,8.22
394514,2011-08,8.2
394514,2011-09,8.18
394514,2011-10,8.19
394514,2011-11,8.21
394514,2011-12,8.22
394514,2012-01,8.2
394514,2012-02,8.18
394514,2012-03,8.17
394514,2012-04,8.17
394514,2012-05,8.16
394514,2012-06,8.14
394514,2012-07,8.14
394514,2012-08,8.15
394514,2012-09,8.16
394514,2012-10,8.19
394514,2012-11,8.23
394514,2012-12,8.24
394514,2013-01,8.26
394514,2013-02,8.28
394514,2013-03,8.29
394514,2013-04,8.32
394514,2013-05,8.35
394514,2013-06,8.37
394514,2013-07,8.39
394514,2013-08,8.42
394514,2013-09,8.44
394514,2013-10,8.46
394514,2013-11,8.46
394514,2013-12,8.51
394514,2014-01,8.55
394514,2014-02,8.54
394514,2014-03,8.54
394514,2014-04,8.61
394514,2014-05,8.67
394514,2014-06,8.7
394514,2014-07,8.68
394514,2014-08,8.67
394514,2014-09,8.67
394514,2014-10,8.69
394514,2014-11,8.8
394514,2014-12,8.87
394514,2015-01,8.9
394514,2015-02,9.0
394514,2015-03,9.1
394514,2015-04,9.17
394514,2015-05,9.25
394514,2015-06,9.32
394514,2015-07,9.38
394514,2015-08,9.43
394514,2015-09,9.52
394514,2015-10,9.59
394514,2015-11,9.64
394514,2015-12,9.85
394514,2016-01,9.84
394514,2016-02,9.91
394514,2016-03,9.94
394514,2016-04,9.99
394514,2016-05,10.02
394514,2016-06,10.12
394514,2016-07,10.33
394514,2016-08,10.35
394514,2016-09,10.41
394514,2016-10,10.48
394514,2016-11,10.55
394514,2016-12,10.59
394514,2017-01,10.62
394514,2017-02,10.69
394514,2017-03,10.77
394514,2017-04,10.84
394514,2017-05,10.9
394514,2017-06,10.95
394514,2017-07,10.97
394514,2017-08,10.99
394514,2017-09,11.03
394514,2017-10,11.08
394514,2017-11,11.12
394514,2017-12,11.19
394514,2018-01,11.19
394514,2018-02,11.25
394514,2018-03,11.36
394514,2018-04,11.41
394514,2018-05,11.56
394514,2018-06,11.68
394514,2018-07,11.75
394514,2018-08,11.81
394514,2018-09,11.85
394514,2018-10,11.83
394514,2018-11,11.78
394514,2018-12,11.82
394514,2019-01,11.85
394514,2019-02,11.84
394974,2010-10,11.57
394974,2010-11,11.49
394974,2010-12,11.42
394974,2011-01,11.37
394974,2011-02,11.29
394974,2011-03,11.23
394974,2011-04,11.14
394974,2011-05,11.07
394974,2011-06,11.01
394974,2011-07,10.97
394974,2011-08,10.93
394974,2011-09,10.89
394974,2011-10,10.85
394974,2011-11,10.85
394974,2011-12,10.87
394974,2012-01,10.87
394974,2012-02,10.84
394974,2012-03,10.82
394974,2012-04,10.78
394974,2012-05,10.73
394974,2012-06,10.66
394974,2012-07,10.61
394974,2012-08,10.56
394974,2012-09,10.56
394974,2012-10,10.57
394974,2012-11,10.58
394974,2012-12,10.57
394974,2013-01,10.54
394974,2013-02,10.55
394974,2013-03,10.61
394974,2013-04,10.64
394974,2013-05,10.58
394974,2013-06,10.55
394974,2013-07,10.51
394974,2013-08,10.48
394974,2013-09,10.5
394974,2013-10,10.51
394974,2013-11,10.56
394974,2013-12,10.64
394974,2014-01,10.71
394974,2014-02,10.78
394974,2014-03,10.82
394974,2014-04,10.92
394974,2014-05,10.97
394974,2014-06,10.99
394974,2014-07,10.89
394974,2014-08,10.82
394974,2014-09,10.81
394974,2014-10,10.83
394974,2014-11,10.86
394974,2014-12,10.87
394974,2015-01,10.85
394974,2015-02,10.86
394974,2015-03,10.86
394974,2015-04,10.8
394974,2015-05,10.76
394974,2015-06,10.7
394974,2015-07,10.61
394974,2015-08,10.62
394974,2015-09,10.7
394974,2015-10,10.74
394974,2015-11,10.79
394974,2015-12,10.89
394974,2016-01,10.85
394974,2016-02,10.85
394974,2016-03,10.87
394974,2016-04,10.82
394974,2016-05,10.76
394974,2016-06,10.74
394974,2016-07,10.8
394974,2016-08,10.85
394974,2016-09,10.91
394974,2016-10,10.95
394974,2016-11,11.03
394974,2016-12,11.11
394974,2017-01,11.18
394974,2017-02,11.21
394974,2017-03,11.27
394974,2017-04,11.26
394974,2017-05,11.26
394974,2017-06,11.23
394974,2017-07,11.22
394974,2017-08,11.23
394974,2017-09,11.29
394974,2017-10,11.55
394974,2017-11,11.51
394974,2017-12,11.68
394974,2018-01,11.74
394974,2018-02,11.76
394974,2018-03,11.76
394974,2018-04,11.8
394974,2018-05,11.87
