ID,name,state_code
102001,United States,United States
394297,"Aberdeen, SD",SD
394298,"Aberdeen, WA",WA
394299,"Abilene, TX",TX
394300,"Ada, OK",OK
394302,"Adrian, MI",MI
394304,"Akron, OH",OH
394305,"Alamogordo, NM",NM
394306,"Albany, GA",GA
394307,"Albany, OR",OR
394308,"Albany, NY",NY
394309,"Albemarle, NC",NC
394310,"Albert Lea, MN",MN
394311,"Albertville, AL",AL
394312,"Albuquerque, NM",NM
394314,"Alexandria, LA",LA
394315,"Alexandria, MN",MN
394316,"Alice, TX",TX
394318,"Allentown, PA",PA
394319,"Alma, MI",MI
394320,"Alpena, MI",MI
394321,"Altoona, PA",PA
394322,"Altus, OK",OK
394323,"Amarillo, TX",TX
394324,"Americus, GA",GA
394325,"Ames, IA",IA
394326,"Amsterdam, NY",NY
394327,"Anchorage, AK",AK
394330,"Andrews, TX",TX
394331,"Angola, IN",IN
394332,"Ann Arbor, MI",MI
394333,"Anniston, AL",AL
394334,"Appleton, WI",WI
394335,"Arcadia, FL",FL
394336,"Ardmore, OK",OK
394337,"Arkadelphia, AR",AR
394338,"Asheville, NC",NC
394339,"Ashland, OH",OH
394340,"Ashtabula, OH",OH
394341,"Astoria, OR",OR
394342,"Atchison, KS",KS
394343,"Athens, OH",OH
394344,"Athens, TN",TN
394345,"Athens, TX",TX
394346,"Athens, GA",GA
394347,"Atlanta, GA",GA
394348,"Atlantic City, NJ",NJ
394349,"Auburn, IN",IN
394350,"Auburn, NY",NY
394351,"Auburn, AL",AL
394352,"Augusta, GA",GA
394353,"Augusta, ME",ME
394354,"Austin, MN",MN
394355,"Austin, TX",TX
394356,"Bainbridge, GA",GA
394357,"Bakersfield, CA",CA
394358,"Baltimore, MD",MD
394359,"Bangor, ME",ME
394360,"Baraboo, WI",WI
394361,"Barnstable Town, MA",MA
394362,"Barre, VT",VT
394363,"Bartlesville, OK",OK
394364,"Bastrop, LA",LA
394365,"Batavia, NY",NY
394366,"Batesville, AR",AR
394367,"Baton Rouge, LA",LA
394368,"Battle Creek, MI",MI
394369,"Bay City, MI",MI
394370,"Bay City, TX",TX
394371,"Beatrice, NE",NE
394372,"Beaumont, TX",TX
394373,"Beaver Dam, WI",WI
394374,"Beckley, WV",WV
394375,"Bedford, IN",IN
394376,"Beeville, TX",TX
394377,"Bellefontaine, OH",OH
394378,"Bellingham, WA",WA
394379,"Bemidji, MN",MN
394380,"Bend, OR",OR
394381,"Bennettsville, SC",SC
394382,"Bennington, VT",VT
394383,"Berlin, NH",NH
394384,"Big Rapids, MI",MI
394385,"Big Spring, TX",TX
394386,"Billings, MT",MT
394387,"Binghamton, NY",NY
394388,"Birmingham, AL",AL
394390,"Bismarck, ND",ND
394391,"Blackfoot, ID",ID
394392,"Blacksburg, VA",VA
394393,"Bloomington, IN",IN
394395,"Bloomsburg, PA",PA
394396,"Bluefield, WV",WV
394397,"Blytheville, AR",AR
394398,"Bogalusa, LA",LA
394399,"Boise City, ID",ID
394401,"Boone, IA",IA
394402,"Boone, NC",NC
394403,"Borger, TX",TX
394404,"Boston, MA",MA
394405,"Boulder, CO",CO
394406,"Bowling Green, KY",KY
394407,"Bozeman, MT",MT
394409,"Bradford, PA",PA
394410,"Brainerd, MN",MN
394411,"Branson, MO",MO
394412,"Bremerton, WA",WA
394413,"Brenham, TX",TX
394414,"Brevard, NC",NC
394415,"Stamford, CT",CT
394417,"Brookhaven, MS",MS
394418,"Brookings, OR",OR
394419,"Brookings, SD",SD
394421,"Brownsville, TX",TX
394422,"Brownwood, TX",TX
394423,"Brunswick, GA",GA
394424,"Bucyrus, OH",OH
394425,"Buffalo, NY",NY
394426,"Burley, ID",ID
394427,"Burlington, IA",IA
394428,"Burlington, NC",NC
394429,"Burlington, VT",VT
394430,"Butte, MT",MT
394431,"Cadillac, MI",MI
394432,"Calhoun, GA",GA
394433,"Cambridge, MD",MD
394434,"Cambridge, OH",OH
394435,"Camden, AR",AR
394436,"Campbellsville, KY",KY
394437,"Cañon City, CO",CO
394438,"Canton, IL",IL
394439,"Canton, OH",OH
394440,"Fort Myers, FL",FL
394441,"Cape Girardeau, MO",MO
394442,"Carbondale, IL",IL
394443,"Carlsbad, NM",NM
394444,"Carson City, NV",NV
394445,"Casper, WY",WY
