"RegionID","RegionName","SizeRank","1979-03","1979-06","1979-09","1979-12","1980-03","1980-06","1980-09","1980-12","1981-03","1981-06","1981-09","1981-12","1982-03","1982-06","1982-09","1982-12","1983-03","1983-06","1983-09","1983-12","1984-03","1984-06","1984-09","1984-12","1985-03","1985-06","1985-09","1985-12","1986-03","1986-06","1986-09","1986-12","1987-03","1987-06","1987-09","1987-12","1988-03","1988-06","1988-09","1988-12","1989-03","1989-06","1989-09","1989-12","1990-03","1990-06","1990-09","1990-12","1991-03","1991-06","1991-09","1991-12","1992-03","1992-06","1992-09","1992-12","1993-03","1993-06","1993-09","1993-12","1994-03","1994-06","1994-09","1994-12","1995-03","1995-06","1995-09","1995-12","1996-03","1996-06","1996-09","1996-12","1997-03","1997-06","1997-09","1997-12","1998-03","1998-06","1998-09","1998-12","1999-03","1999-06","1999-09","1999-12","2000-03","2000-06","2000-09","2000-12","2001-03","2001-06","2001-09","2001-12","2002-03","2002-06","2002-09","2002-12","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12"
102001,"United States",0,16346.86,16675.92,17015.62,17325.61,17700.06,18003.37,18309.93,18655.45,19069.98,19406.03,19799.97,20170.18,20502.31,20700.73,20881.75,21040.41,21193.8,21375.66,21630.27,22021.07,22488.88,22990.99,23432.67,23771.43,24066.18,24283.44,24553,24893.82,25286.77,25669.88,26001.75,26265.34,26569.6,26910.13,27213.02,27481.43,27769.24,28053.96,28411.98,28889.2,29475.01,29977.6,30315.07,30456.32,30703.91,31018.24,31294.84,31392.28,31325.6,31257.09,31210.93,31257.15,31410.49,31642.32,31890.45,32112.12,32192.05,32290.7,32369.61,32605.86,32802.63,33138.61,33537.02,34116.82,34644.39,35149.5,35488.01,35715.13,36053.17,36487.28,36918.34,37298.49,37659.63,38039.73,38421.43,38796.3,39298.35,39811.86,40419,41061.45,41634.48,42144.24,42220.25,41977.02,42065.74,42225.06,42491.18,42613.94,42750.22,42658.23,42668.29,42735.21,42815.84,43044.45,43150.26,43217.45,43258.75,43449.9,43651.42,43895.93,44131.18,44439.23,44795.16,45370.43,45713.81,46088.81,46333.04,46832.34,47543.18,48205.76,48787.39,49267.68,49913.4,50621.67,51114.6,51310.32,51516.17,52103.39,52319.6,52176.84,51093.53,50391.11,49745.84,49653.52,49653.69,50027.15,50251.63,50251.52,50392.89,50450.25,50594.09,50570.77,50815.67,51099.87,51421.41,52147.06,52179.77,52411.95,52095.69,52312.6,52743.34,53328.94,54015.65,54540.07,55010.77,55456.9,56026.51,56605.81,57017.05,57324.21,57766.34,58360.4,59165.91,59959.39,60741.39,61477.31,61936.6232356322,62395.9364712644,62855.2497068965,63314.5629425287
394913,"New York, NY",1,17536.34,17888.75,18255.17,18614.93,19075.72,19493.98,19894.97,20320.32,20744.95,21122.72,21558.15,22022.97,22477.92,22789.32,23220.66,23734.2,24248.75,24737.6,25165.92,25623.99,26116.08,26666.66,27269.79,27970.76,28541.66,28989.64,29415.56,29923.29,30544.08,31165.14,31825.38,32424.83,33117.27,33776.37,34316.56,34758.98,35542.84,36136.27,36674.4,37123.56,37818.46,38547.66,38893.13,38823.75,38933.73,39009.43,39504.59,39990,40080.54,40169.04,40088.74,39947.96,40040.73,40177.77,40574.41,41026.22,41022.09,41085.43,41041.06,41537.77,41571.28,41826.42,41862.69,42251.11,42508.51,42793.81,43010.13,43190.94,43572.68,44030.17,44521.08,44976.69,45452.81,45983.4,46508.61,47038.88,47526.62,48053.17,48667.82,49508.07,50446.2,51230.09,51721.77,51474.07,51907.73,52432.91,53049.85,53403.33,53547.99,53365.41,53243.56,53086.8,53039.14,52992.52,53017.08,53078.6,52964.03,53215.3,53619.2,54347.53,54863.79,55487.99,56349.35,57669.67,58538.77,59260.99,59756.45,60729.57,61974.92,63256.95,63928.61,64250.2,65145.6,65890.09,66375.93,66213.51,66373.16,66643.02,66965.09,67115.25,66415.54,66458.44,66065.86,65745.9,65121.91,64940.51,64666.07,64315.01,64367.99,64414.7,64635.04,64249.8,64396.23,64751.96,65217.35,66125.47,66087.02,66396.69,65954.7,66198.36,66509.81,66937.99,67471.23,67874.61,68243.81,68750.33,69559.02,70388.88,71139.93,71694.19,72364.87,72812.68,73819.12,74936.31,75963.84,76753.93,77408.0828125,78062.235625,78716.3884375,79370.54125
753899,"Los Angeles-Long Beach-Anaheim, CA",2,17913.83,18285.02,18746.27,19213.79,19782.36,20306.08,20737.44,21091.91,21468.44,21765.04,22166.95,22582.74,22992,23190.23,23452.38,23705.82,24117.49,24585.77,25030.31,25389.37,25864.12,26337.42,26881.19,27419.67,27979.61,28356.13,28777.79,29250.52,29844.92,30422.71,30978.42,31455.41,32025.05,32634.48,33185.84,33694.81,34236.26,34857.09,35505.66,36124.99,36850.97,37378.23,37564.65,37507.9,37703.9,37975.53,38175.79,38390.29,38421.99,38430.79,38148.8,37782.13,37532.56,37388.88,37373,37425.47,37318.47,37142.77,36955.83,36939.44,36947.13,37086.17,37180.83,37349.91,37589.48,37823.76,38074.17,38238.52,38613.54,39027.31,39566.7,40106.84,40637.83,41211.62,41636.02,41947.14,42593.88,43138.76,43878.78,44580.12,45347.5,46046.36,46303.93,46346.14,46814.62,47352.6,48057.39,48287.34,48521.46,48173.44,47902.33,47519.11,47323.32,47320.88,47251,47091.43,47018.16,47109.06,47395.61,47809.69,48272.06,48764.44,49429.9,50385.04,51121.31,51963.36,52514.62,53128.72,54062.89,54761.72,55519.56,56172.25,57053.28,57894.68,58345.94,58474.12,58500.62,58755.91,59103.13,59421.56,59064.36,58890.64,58334.26,57680.67,57366.27,57445.15,57287.73,57057.68,57062.53,56991.23,56873.99,56555.11,56829.14,57144.08,57632.7,58787.37,58776.34,59113.91,58548.2,59097.55,59674.08,60412.12,61046.65,61436.87,61900.01,62437.36,63322.84,64352.02,65089.18,65695.43,66466.82,67400.6,68525.74,69658.59,70516.54,71268.43,71844.9052614748,72421.3805229496,72997.8557844244,73574.3310458992
394463,"Chicago, IL",3,20056.35,20460.12,20910.06,21267.37,21678.2,21848.9,21984.03,22067.13,22395.99,22598.73,22927.6,23205.31,23395.25,23494.67,23725,24151.56,24435.35,24714.86,24885.12,25078.73,25442.9,25870.31,26378.72,26896.37,27309.91,27572.4,27837.85,28171.02,28595.38,29063.13,29555.51,30073.83,30616.04,31136.15,31657.13,32138.61,32767.07,33273.63,33815.29,34408.28,35162.36,35745.64,35985.25,35966.4,36168.78,36420.19,36886.51,37475.18,37699.96,37874.85,37756.89,37656.66,37850.85,38201.64,38719.4,39238.66,39399.63,39508.14,39508.5,39810.71,40120.15,40528.42,40892.54,41289.16,41741.62,42031.82,42296.69,42550.03,43072.23,43606.9,44205.74,44795.09,45365.56,45921.43,46417.83,46936.96,47535.96,48121.98,48899.6,49899.65,50789.58,51556.11,51664.41,51440.13,51683.9,52022.12,52353.75,52347.03,52459.75,52094.85,51770.56,51346.62,51074.91,50950.48,50797.91,50864.11,50706.49,50682.54,50754.95,51167.9,51541.78,51931.86,52435.16,53331.04,53983.05,54538.71,54807.72,55232.72,56036.3,56766.37,57363.87,57796.17,58442.57,59168,59566.41,59566.15,59342.42,59529.67,59770,60396.5,59749.81,59466.44,58715.89,58239.94,57750.44,57691.14,57654.33,57703.19,57878.98,57819.66,57918.87,57888.07,58273.68,58758.94,59195.85,59895.36,60122.36,60633.15,60502.13,60639.31,61011.98,61530.01,62088.4,62456.04,62767.79,63113.81,63800.45,64679.86,65261.03,65614.91,65979.46,66579.67,67326.11,68089.22,68769.39,69427.31,69940.5858326848,70453.8616653697,70967.1374980545,71480.4133307393
394514,"Dallas-Fort Worth, TX",4,18147.33,18458.77,18899.16,19454.8,20069.21,20608.07,21021.31,21363.17,21890.5,22279.25,22798.04,23338.37,23839.42,24047.31,24270.29,24708.35,25201.78,25762.16,26216.09,26663.05,27126.97,27664.87,28132.57,28570.68,28922.35,29134.07,29357.44,29657.51,29916.31,29995.28,29995.27,29936.16,30134.85,30383.2,30658.66,30729.93,30880.25,31094.52,31459.53,32024.16,32573,32954.43,33023.7,32880.51,33010.16,33201.88,33636.93,34015.22,34194.24,34277.3,34297.28,34312.71,34527.76,34772.32,35048.66,35274.36,35540.92,35718.43,35864.5,36077.47,36347.12,36723.3,37020.09,37438.01,37846.09,38165.77,38432.07,38855.24,39480.34,40095.91,40694.98,41212.73,41968.19,42649.55,43296.64,43692.85,44402.87,44905.57,45733.17,46613.77,47554.36,48223.33,48451.81,48468.74,49044.13,49606.32,49965.99,49851.91,50223.16,50086.59,50079.84,49852.45,49790.29,49705.28,49541.29,49440.17,49561.53,49690.99,49824.72,49874.58,50012.46,49992.04,50075.23,50340.94,50957.46,51458.48,51569.36,51653.97,52285.73,52863.59,53485.51,54193.48,54974.96,55866.94,55982.25,55389.86,55246.66,55661.35,56511.35,57717.6,57271.82,56656.53,55368.27,54614.06,54803.88,55521.66,56035.47,55785.2,55964.92,55973.32,56200.75,56073.28,56431.36,56692.07,57085.09,57830.7,57936.83,58359.53,58009.84,58014.75,58492.86,59049.22,59935.77,60618.5,61137.31,61248.7,61751.24,62510.44,63343.45,63987.57,64606.25,65180.46,66119.78,66969.37,67831.43,68607.56,69045.6500696594,69483.7401393189,69921.8302089783,70359.9202786378
394974,"Philadelphia, PA",5,17530.66,17869.9,18248.18,18589.76,19067.8,19428.49,19742.03,20054.82,20449.59,20759.86,21121.83,21468.37,21832.2,22045.81,22420.07,22866.83,23316.24,23618.59,23910.14,24243.11,24857.09,25408.6,25793.78,25994.73,26437.82,26997.37,27677.92,28030.84,28678.33,29051.64,29457.61,29714.45,30256.12,31014.65,31767.3,32440.06,33083.88,33478.59,33843.02,34164.7,34957.26,35620.35,36154.52,36097.49,36228.52,36342.23,36619.74,36915.72,37096,37220.59,37240.27,37188.85,37304.17,37416.62,37608.99,37837.62,37989.44,38181.25,38331.87,38559.13,38664.45,38856.68,39060.53,39426.72,39798.77,40074.73,40325.91,40639.88,41095.84,41621.83,42209.85,42845.72,43451.57,43995.49,44468.15,44952.37,45591.38,46211.04,46849.04,47593.51,48363.13,49037.64,49335.67,49335.62,49856.15,50446.42,50970.66,51126.4,51316.26,51271.99,51159.36,51047.67,50995.93,50962.35,50890.9,50855.04,50963.97,51156.25,51367.94,51532.93,51778.99,52052.41,52491.36,53175.73,53484.69,53729.17,53822.52,54367.1,54998.74,55601.72,56078.95,56596.19,57334.19,58109.01,58703.17,58921.81,59046.57,59525.58,59962.91,60496.19,59985.29,59973.94,59509.77,59272.57,58843.73,58861.02,58802.6,58798.41,58805.05,58738.66,58872.84,58943.67,59110.09,59300.53,59670.23,60464.34,60630.25,60993.98,60853.3,61200.13,61682.28,62360.92,62986.97,63337.94,63674.72,64032.9,64632.42,65380.32,65905.9,66343.04,66785.55,67220.34,67832.33,68361.58,68876.61,69216.88,69806.7965909091,70396.7131818182,70986.6297727273,71576.5463636364
394692,"Houston, TX",6,20209.3,20569.3,21125.56,21866.45,22677.02,23398.85,23957.78,24414.05,25074.81,25583.85,26096.55,26476.12,26805.28,26812.61,26725.37,26756.5,26851.95,27015.83,27043.83,27045.44,27048.92,27147.82,27244.7,27381.78,27414.99,27342.5,27317.39,27401.05,27419.67,27301.21,27204.83,27155.3,27322.27,27551.67,27902.63,28170.6,28492.59,28887.15,29439.4,30196.75,30925.75,31506.41,31777.04,31829.99,32108.9,32480.64,33051.04,33521.44,33780.87,33958.62,34021.12,34023.03,34195.17,34423.83,34626.27,34718.38,34803.33,34849.95,34874.69,34974.61,35067.5,35325.65,35532.12,35882.25,36161.69,36417.73,36643.34,37040.7,37568,38148.94,38716.45,39208.98,39847.13,40494.33,41054.93,41320.33,41809.4,42177.96,42854.23,43583.25,44285.15,44817.91,44929.53,44833.21,45169.57,45576.92,45883.07,45843.3,46163.17,46100.3,46252.83,46304.19,46431.18,46609.41,46515.22,46266.9,46164.6,46134.39,46230.78,46381.71,46573.07,46660.61,46868.37,47270.94,47958.73,48582.28,48914.42,49299.86,50125.91,50977.62,51822.05,52693.24,53614.65,54661.04,54939.92,54513.13,54514.19,55075.18,56067.18,57415.7,57128.65,56661.8,55410.44,54578.44,54685.45,55323.35,55767.06,55462.63,55555.81,55510.07,55698.44,55553.47,55891.44,56132.04,56541.79,57341.18,57515.56,57994.52,57752.88,57912.2,58545.62,59253.81,60126.14,60612.31,60927.33,60847.13,61076.87,61474.68,61957.17,62239.36,62470.16,62633.11,63159.68,63590.93,64039.98,64417.41,64828.7440808824,65240.0781617647,65651.4122426471,66062.7463235294
395209,"Washington, DC",7,22611.34,23095.61,23441.83,23673.91,24067.25,24372.23,24646.77,24997.88,25485.86,25835.85,26363.63,26843.54,27494.29,28009.1,28619.49,29143.68,29637.23,30067.59,30473.15,30930.28,31596.24,32220.29,32959.04,33637.69,34361.55,34822.46,35408.99,36162.3,37139.36,38014.2,38846.12,39638.17,40559.18,41442.79,42128.09,42682.8,43317.42,43856.67,44468.03,45167.07,45954.34,46423.12,46607.86,46572.56,46741.27,46910.8,47188.56,47428.29,47628.75,47777.57,47819.17,47712.79,47749.12,47892.24,48018.39,48011.91,48033.19,47959.84,48043.06,48277.68,48618.72,49162.54,49627.79,49978.67,50249.66,50422.94,50659.22,51051,51613.38,52299.96,53006.15,53640.33,54391.92,55079.58,55744.65,56361.94,57174.71,58063.4,59240.52,60634.92,62091.77,63201.1,63960.74,64266.08,65337.04,66342.16,67243.69,67705.91,68209.25,68442.98,68491.26,68641.76,68781.39,69181.8,69319.1,69325.46,69430.82,69694.18,70280.82,71126.25,72104.53,73003.74,73895.26,74969.68,75840.75,76776.1,77637.02,78908.79,80268.03,81479.81,82415.69,83073.02,84004.06,85062.9,85720.64,85755.03,85885.14,86465.56,87142,87838.81,87252.66,87217.06,86782.9,86629.21,86548.9,87027.94,87363.98,87454.67,87700.1,87849.47,88199.87,88350.81,88766.74,89000.28,89423.44,90461.97,90491.36,90564.13,89800.62,89911.92,90421.65,91370.14,92123.4,92266.2,92518.66,92855.43,93719.88,94679.98,95301.86,95893.43,96541.67,97337.81,98291.83,99239.91,100118.33,101025.8,101670.895085139,102315.990170279,102961.085255418,103606.180340557
394856,"Miami-Fort Lauderdale, FL",8,15673.84,15963.28,16269.95,16509.61,16908.27,17286.72,17617.68,17835.34,18099.03,18315.78,18679.87,19034.28,19358.23,19478.88,19675.66,19822.27,20207.45,20616.15,21046.32,21354.46,21701.21,22058.16,22430.3,22830.63,23212.81,23533.55,23838.09,24214.47,24651.49,25082.58,25484.37,25809.04,26232.75,26694.21,27150.1,27496.94,27888.36,28205.11,28454.98,28627.27,29048.97,29361.63,29595.74,29612.92,29665.61,29667.62,29785.24,29946.27,30107,30253.14,30366.04,30431.35,30555.26,30776.21,30990.77,31244.97,31541.19,31755.98,31934.21,32127.89,32350.08,32723.86,32990.05,33169.81,33405.87,33651.01,33889.51,34085.44,34361.01,34667.45,35035.3,35441.78,35858.15,36261.12,36583.58,36762.38,37167.72,37575.73,38259.35,39032.92,39689.95,40312.05,40506.59,40266.26,40390.24,40528.63,40722.26,40616.37,40591.7,40427.99,40248.41,40075.03,39970.8,39950.13,39923.64,39922.66,39968.08,40075.44,40182.3,40387.78,40771.61,41227.01,41702.11,42376.74,42963.64,43586.69,44071.15,44600.59,45342.61,46010.79,46672.61,47254.41,47802.64,48457.73,48735.46,48577.78,48140.27,48067.27,48084.5,48361.25,47660.6,47423.77,46633.73,45760.34,45373.16,45434.34,45683.09,45781.89,45804.48,45757.76,45770.62,45874.56,45930.69,46030.52,46215.77,47158.73,47310.45,47615.85,47181.1,47291.53,47744.43,48409.12,49013.6,49293.42,49512.16,49731.23,50210.19,50894.01,51358.06,51757.15,52231.71,52768.75,53440.29,54005.01,54587.49,55103.22,55455.0787964396,55806.9375928793,56158.7963893189,56510.6551857585
394347,"Atlanta, GA",9,17097.7,17419.05,17787.09,18160.24,18627.02,19015.44,19296.12,19559.36,19930.37,20221.39,20610.93,20964.92,21354.05,21590.29,21926.05,22320.25,22831.92,23362.78,23863.52,24328.3,24964.38,25548.84,26189.62,26822.56,27498.85,27982.56,28441.39,28895.05,29596.3,30135.19,30678.54,31135.18,31717.63,32169.57,32533.12,32841.62,33251.84,33560.08,33881.68,34311.91,34841.11,35144.22,35211.66,34996.1,35068.02,35088.88,35357.75,35571.75,35741.73,35886.74,36020.81,36091.88,36313.94,36591.39,36985.95,37432.33,37843.56,38231.37,38459,38706.89,39024.72,39588.82,40083.26,40622.31,41159.84,41573.61,41895.66,42213.56,42712.1,43325.87,44003.83,44793.81,45517.94,46109.21,46599.44,46922.33,47713.69,48495.51,49477.46,50298.62,51201.5,51807.02,52082.34,52134.08,52660.56,53250.19,53657.77,53709.58,53751.12,53659.34,53494.71,53339.68,53084.01,52929.94,52598.49,52411.9,52231.82,52148.24,52208.07,52440.57,52764.3,53164.08,53630.31,54223.05,54741.2,55221.41,55561.3,56121.87,56818.5,57473.04,57946.4,58497.16,59123.09,59768.6,60027.93,59972.51,59507.49,59647,59400.26,59356.95,58435.25,58271.15,57730.36,56904.46,56005.76,55391.21,54893.89,54420.07,54516.87,54389.6,54683.68,54823.09,54927.45,54939.05,54941.34,55623.77,55786.23,56129.12,55807.95,55915.96,56375.18,57048.22,57796.28,58271.14,58752.24,59171.39,59916.6,60825.12,61759.45,62461.8,63128.75,63602.38,64383.37,65101.68,65734.19,66304.8,66728.1859133127,67151.5718266254,67574.9577399381,67998.3436532508
