"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02"
"United States",0,,1200,1250,1210,1250,1200,1200,1045,1095,1100,1100,1100,1150,1275,1350,1350,1354,1350,1375,1300,1150,1100,1150,1150,1150,1200,1250,1319,1285,1268,1225,1250,1200,1215,1234,1150,1250,1294,1300,1315,1325,1400,1410,1550,1625,1550,1625,1600,1600,1600,1619,1700,1700,1501,1500,1500,1475,1470,1425,1450,1485,1500,1500,1515,1500,1500,1500,1499,1491,1419,1450,1460,1500,1500,1495,1497,1475,1500,1488,1450,1512,1520,1423,1450,1400,1410,1433,1415,1410,1405,1418,1400,1400,1400,1400,1400,1408,1425,1435,1450,1450,1462,1463,1450,1440,1434,1442,1450,1465
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2195,2195,2250,2250,2250,2300,2350,2395,2400,2400,2400,2440,2450,2495,2500,2500,2495,2550,2500,2550,2600,2600,2549,2575,2600,2645,2550,2550,2500,2550,2550,2550,2595,2575,2200,2129.5,2150,2150,2150,2100,2100,2110,2150,2200,2250,2200,2100,2195,2170,2125,2100,2100,2100,2100,2100,2150,2200,2200,2200,2200,2295,2400,2300,2050,2125,2100,2100,2150,2150,2195,2199,2199,2185,2125,2098.5,2058.5,2075,2095,2100,2150,2150,2195,2180,2180,2153.5,2108,2100,2100,2100,2100
"Los Angeles-Long Beach-Anaheim, CA",2,,1380,1417.5,1407.5,1400,1540,1600,1389,1325,1350,1352.5,1295,1300,1325,1315,1350,1325,1300,1300,1275,1250,1234,1213,1250,1295,1325,1325,1330,1345,1341,1349,1386,1381.5,1394,1350,1355,1415,1450,1425,1440,1430,1399,1395,1397,1445,1350,1495,1490,1450,1425,1473.5,1540,1540,1555,1595,1625,1675,1685,1695,1695,1712.5,1702,1700,1720,1725,1735,1750,1750,1750,1800,1795,1825,1850,1880,1859,1855,1850,1880,1805,1845,1800,1820,1800,1870,1915,1950,1950,1950,1970,1972,1967,1957,1975,1965,1948,1930,1953,1962,1950,1998.5,2035,2055,2095,2085,2104,2110,2100,2095,2104
"Chicago, IL",3,,1050,1107.5,1050,1095,995,950,1095,1225,1255,1260,1125,1200,1199,1230,1250,1340,1295,1250,1290,1275,1250,1295,1299,1229,1180,1145,1195,1257,1250,1250,1300,1383,1325,1375,1350,1495,1398,1450,1470,1500,1517,1528.5,1500,1477,1520,1599,1562,1470,1440,1400,1395,1429,1575,1395,1610,1639,1607,1350,1495,1597,1395,1395,1402.5,1395,1362,1365,1525,1615,1700,1625,1566,1652.5,1495,1453,1445,1425,1395,1395,1395,1385,1425,1450,1395,1400,1402,1400,1425,1425,1420,1440,1490,1500,1525,1495,1480,1495,1495,1495,1495,1495,1500,1500,1500,1495,1523,1540,1582,1595
"Dallas-Fort Worth, TX",4,,,,,,,,1000,1129,1100,1066.5,961.5,876,875,850,850,868.5,870,760.5,760,705,690,721,744,777,807,775,795,796,790,787,800,802,810,834,945,835,850,855,866,880,895,850,965,1022,1059,1050,1029,999,1000,1020,973.5,995,941.5,925,925,940,1003,1012,1000,980,950,989,990,999,999,1011.5,1039,1030,1060,1060,1068,1079,1109,1093,1099,1090,1089.5,1085,1145,1085.5,1096,1054,1140,1145,1165,1170,1179,1200,1200,1211,1187,1185,1217,1205,1200,1242,1235,1235,1254,1255,1268,1266,1266,1289,1289,1275,1270,1280
"Philadelphia, PA",5,,,,,,,1000,899,897,900,899,975,970,950.5,999.5,980,995,950,925,950,915,925,920,925,950,975,1000,992.5,982,975,995,975,981,995,950,920,950,965,975,1046,1000,975,950,950,950,990,975,925,945,950,975,1100,1099,1095,1076.5,1000,1025,1000,995,995,1004.5,1050,1110,1100,1095,1060,1099,1050,1045,1110,1069,1100,1100,1140,1167,1195,1160,1175,1150,1150,1185,1135,1185,1150,1195,1245,1250,1295,1275,1295,1287.5,1252,1225.5,1249,1235,1240,1250,1300,1325,1350,1345,1350,1345,1346,1320,1350,1350,1355,1385
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,979,1091,1005,995,1020,1050,1065,1057,1050,1063.5,1085,1025,1030,1030,1039,1059,1091,1100,1110,1110,1101.5,1120,1125,1249,1225,1248,1180,1200,1183,1175,1145,1124,1104,1118.5,1079,1015,1072.5,1103,1139,1149,1158,1166.5,1150,1145,1150,1175,1185,1191,1199,1200,1226,1235,1229,1221,1225,1225,1221,1213,1200,1200,1195,1191,1196
"Washington, DC",7,,1300,1400,1400,1400,1400,1385,1450,1455,1450,1475,1495,1405,1402.5,1495,1495,1500,1550,1825,1851,1825,1625.5,1650,1678,1700,1755,1755,1777.5,1800,1795,1720,1725,1718,1722,1725,1735,1725,1745,1700,1620,1650,1629,1700,1700,1695,1676,1650,1669,1650,1640,1650,1699,1719,1796,1815,1725,1700,1699,1700,1700,1745,1745,1750,1750,1750,1735,1748,1745,1726,1698,1699,1701,1730,1735,1740,1701,1735,1731.5,1690,1666,1650,1650,1650,1729,1750,1784,1770,1779,1795,1790,1820,1775,1790,1779,1761,1772,1760,1780,1781,1798,1800,1800,1829,1799,1806,1807,1834,1850,1834
"Miami-Fort Lauderdale, FL",8,1300,1300,1300,1275,1300,1200,1200,1300,1350,1300,1300,1299.5,1300,1300,1300,1290,1275,1250,1250,1250,1200,1250,1250,1250,1250,1250,1200,1200,1250,1250,1240,1200,1175,1175,1180,1185,1200,1200,1210,1250,1300,1450,1425,1400,1425,1450,1450,1400,1375,1325,1300,1350,1375,1385,1390,1400,1400,1409,1400,1450,1500,1500,1500,1590,1650,1600,1650,1600,1600,1650,1603,1650,1650,1675,1609,1600,1595,1500,1525,1590,1589,1600,1500,1550,1550,1550,1550,1587,1590,1572,1600,1600,1600,1600,1600,1600,1612,1625,1650,1650,1650,1650,1650,1654,1658,1658,1650,1650,1658
"Atlanta, GA",9,999.5,975,999.5,1000,1062.5,1025,972.5,950,997.5,995,959,900,967,950,936,900,892.5,875,897.5,900,825,815,841.5,800,840,799,796,830,833,840,865,840,845,822.5,813,802,795,794.5,799,825,818,835,840,899,972,940,998,1033,1005,1015,1024.5,1015.5,1045,1050,1025,1052,1030,1031,1031,1060,1090,1082,1090,1119,1140,1140,1155,1143,1131,1169,1170,1175,1175,1201,1200,1095,1165,1151,1171,1205,1139,1140,1115,1205,1200,1227.5,1232,1255,1250,1250,1265,1259,1251,1250,1260,1270,1270,1275,1279,1299,1290,1328.5,1350,1328,1396,1392,1393,1399,1410
