SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
0,102001,United States,Country,0.92,0.9191176470588235,0.9269406392694064,0.9322198485142746,0.9371428571428572,0.9380863039399625,0.934,0.9328114807566862,0.9257714762301918,0.9216757741347905,0.9178630265944928,0.9140401146131805,0.9110396570203644,0.9096422073984233,0.9130434782608695,0.9188193548387097,0.9254627313656828,0.9306654257794323,0.9313725490196079,0.9289940828402367,0.925,0.9227985524728589,0.9220266889074229,0.9209209209209209,0.9194159004867496,0.9212950776520137,0.9291023441966838,0.9376719973355472,0.9462994306816433,0.9505280711506392,0.9518658734451054,0.9502375593898474,0.9485573105091326,0.9478414269387112,0.9471050750536097,0.945902858964821,0.9446808510638298,0.9466950959488273,0.9528333333333333,0.9583991574512901,0.9631413224671236,0.966183574879227,0.9662559434671893,0.96415770609319,0.9607686148919136,0.9568345323741008,0.9527065545713501,0.9493401447424435,0.9460278956943602,0.9481481481481482,0.9537210756722951,0.9586206896551724,0.9633911368015414,0.9664292980671414,0.9647058823529412,0.9615384615384616,0.9574468085106383,0.9536224331815333,0.9513513513513514,0.9486510008703221,0.9471050750536097,0.9502262443438914,0.9585025868030295,0.9644246803779878,0.9694694675584241,0.9712810584059374,0.9698492462311558,0.9668278046341057,0.9635974304068522,0.96,0.9578544061302682,0.9565028273162245,0.9545534591194968,0.9565217391304348,0.9642857142857143,0.9699769053117783,0.9743016759776536,0.9761904761904762,0.9755102040816327,0.9729583558680368,0.9696785930867192,0.9673115410273516,0.9652173913043478,0.9625668449197861,0.9605972170126341,0.9628571428571429,0.9696969696969697,0.9750146705788211,0.9788359788359788,0.9809616005162956,0.9798657718120806,0.9764705882352941,0.9737048780487805,0.9708333333333333,0.96875,0.9666666666666667,0.9649122807017544,0.9688482423549586,0.9752438109527382,0.9798994974874372,0.9827810760667903,0.9839291571006887,0.9815950920245399,0.9770453207769276,0.9729328493309024,0.9688482423549586,0.9652509652509652,0.9615384615384616,0.9591326105087573
1,394913,"New York, NY",Msa,0.8999540863177227,0.8983286908077994,0.8982857142857142,0.9090909090909091,0.9118541033434651,0.9222232469147188,0.9230769230769231,0.92,0.9127281820455114,0.9102902374670184,0.9111111111111111,0.905277818501686,0.9,0.9000025714359184,0.8974358974358975,0.9039242219215156,0.9065627319970304,0.9132022960514872,0.9212034383954155,0.92,0.9092562284051646,0.9022556390977443,0.8953177923889222,0.8907138344914719,0.8836524300441826,0.8897601145721447,0.89148916749793,0.9001800360072014,0.9090909090909091,0.9183487906892163,0.9278350515463918,0.9262759924385633,0.9221400608960417,0.919732441471572,0.9172969016833374,0.918580375782881,0.9146507732460754,0.9198013557991365,0.9148936170212766,0.9258532757944292,0.9383033419023136,0.9461077844311377,0.9500019000038,0.9540229885057471,0.951048951048951,0.9457984721716988,0.9414517049751414,0.9389121338912134,0.9375,0.9356306892067621,0.9368421052631579,0.9360761124565087,0.95,0.9565965419188461,0.9581564584596726,0.9565217391304348,0.94972067039106145,0.9434249147551035,0.9395393885189576,0.9389566237550696,0.9367541766109785,0.9370529327610873,0.9365687526607067,0.9453923216171397,0.9498207885304659,0.9549795361527967,0.961038961038961,0.9594882729211087,0.9546666666666667,0.9496402877697842,0.9444444444444444,0.9433962264150944,0.9412780656303973,0.9411418277558373,0.9447348767737117,0.947075208913649,0.9557679484329851,0.9602194787379973,0.9646302250803859,0.9632276578879323,0.9595925466313356,0.9571702048629961,0.9534883720930233,0.9517241379310345,0.9501357336762395,0.9507367280606718,0.9522530545363872,0.9589685895375384,0.9651162790697675,0.9686044841511807,0.9717062017719348,0.9714285714285714,0.9673659673659674,0.9652173913043478,0.9622431865828092,0.9619161370066027,0.9585257731163128,0.9556300978959051,0.9599332220367279,0.9633197480548351,0.9696569920844327,0.9730235880435538,0.9749338527376938,0.9714471428571428,0.9670886075949368,0.9639455782312926,0.9598853868194842,0.9567376580842107,0.9523809523809523
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.9619565217391305,0.9550056242969629,0.9661561202425233,0.9699624530663329,0.9692307692307692,0.9685762144762964,0.9689788826516974,0.9646680537166635,0.9586206896551724,0.9553158705701078,0.9509774967281656,0.9456565217391304,0.9464343330362904,0.9402350587646912,0.9456264775413712,0.9501039457026602,0.9513940026182294,0.9512195121951219,0.9507721549061534,0.9489692507023463,0.9421382896179045,0.945179584120983,0.9440009440018879,0.9456264775413712,0.9443181818181818,0.9483793517406963,0.9511315185306658,0.959349593495935,0.965598123534011,0.9742623042609978,0.976271186440678,0.9784283513097073,0.9795244816486623,0.9824561403508771,0.9836809009786238,0.985663082437276,0.9905821641670698,0.9989275694245634,1,1,1.0001222856943206,1.0002222716159146,1,1,0.9979064898813678,0.9876543209876543,0.9817629179331308,0.9797833829625737,0.9762532981530343,0.97949917530222,0.9836065573770492,0.9854014598540146,0.9859154929577465,0.9844760412901152,0.9836065573770492,0.9791863579080025,0.9756671620999613,0.9734513274336283,0.9716981132075472,0.9706236335692794,0.9697116625205355,0.9762993749060138,0.9814814814814815,0.986798239765302,0.9894736842105263,0.9897172236503856,0.9886883886791589,0.9874213836477987,0.9851882049191466,0.9809342230695901,0.9782293178519593,0.9796708568054906,0.978140325814832,0.9818181818181818,0.9880810488676997,0.9904153354632588,0.9933147611563415,0.9925237629834043,0.9928913308950938,0.9891670275859588,0.9863641584837142,0.9839357429718876,0.9827453078178024,0.9803921568627451,0.98,0.9835907335907336,0.9910554561717353,1,1,1,1,0.9946595460614153,0.9908883826879271,0.9904534606205251,0.9895302156737134,0.9876543209876543,0.9881372680292678,0.9935379644588045,1,1,1,1,0.9942809463796987,0.990909090909091,0.9836065573770492,0.9803921568627451,0.9747444781772634,0.9711538461538461,0.9691833590138675
3,394463,"Chicago, IL",Msa,0.8804276427552153,0.8755217673457083,0.8797653958944281,0.8870967741935484,0.8946330834479002,0.9078947368421053,0.9046838198104414,0.9020567787176785,0.9,0.8925439950602038,0.883054892601432,0.8794871794871795,0.8711111111111111,0.8807045636509208,0.8792106415424801,0.88,0.8929384965831435,0.8997893634893901,0.8943242828654702,0.8993609581608456,0.8860045768051654,0.8859600656813927,0.8756461538461539,0.8828722778104767,0.8790170132325141,0.8787878787878788,0.8770491803278688,0.8934169278996865,0.907767072154611,0.9186020072548833,0.9212391955611695,0.9208025459713799,0.9219330855018587,0.9174311926605505,0.9171597633136095,0.9200920184036807,0.9132751072046559,0.9172781854569713,0.9235074626865671,0.931899641577061,0.9434285921426371,0.951339392489835,0.9546165884194053,0.9524892020913844,0.9522893420546364,0.9496028712320213,0.9417304296645085,0.9386733416770964,0.9373433583959899,0.9394682115270351,0.9375,0.9481743227326266,0.9554140127388535,0.9587020648967551,0.9566885545413697,0.9551591931988664,0.9484417083493651,0.9411764705882353,0.9362478883996438,0.931197505356929,0.9258572115714974,0.927912825734474,0.9318252885326056,0.9466666666666667,0.9558528230569336,0.9594738661902841,0.9563825530212084,0.9531772575250836,0.9482291472992467,0.9437976625603537,0.94,0.9349823730726654,0.9289617486338798,0.9311767562607933,0.9436619718309859,0.9554334554334555,0.9612775609726213,0.9637163264341186,0.9626500666963095,0.9603841536614646,0.9555555555555556,0.9515054957434139,0.9485251590514748,0.9443777511004402,0.9404367739540154,0.9444135459152144,0.9532544171370803,0.9626500666963095,0.96875,0.9700470634074316,0.96875,0.9640788775788273,0.9603841536614646,0.956347757046447,0.9518072289156626,0.9498207885304659,0.9439063795455604,0.9444444444444444,0.9574468085106383,0.9684542586750788,0.9711595055915244,0.9718916343690045,0.9693558474046279,0.9649122807017544,0.96,0.9555555555555556,0.95,0.9422850412249706,0.9384615384615385
4,394514,"Dallas-Fort Worth, TX",Msa,0.9744160301605954,0.9747827332155505,0.9872778036295952,0.9866846908080471,0.9904490177736202,0.9841688233005392,0.974035855855856,0.9659336196973525,0.9770957773275217,0.9598604044357468,0.9577094824349692,0.941923076923077,0.9446256520836177,0.9485948897458383,0.955678496868476,0.9609587923201368,0.963739024390244,0.9638286355656711,0.9587066666666667,0.9610593634014564,0.9573333333333334,0.9545496094233684,0.9515237688989999,0.9576770761727411,0.9677242401779096,0.9758286606082369,0.970285009591669,0.9796665842535659,0.980438148548234,0.9825223294033584,0.9812,0.9821655413853463,0.9809498785977102,0.9718323636363637,0.973272574996193,0.9817119309089768,0.977896606984969,0.9814616248306558,0.9850273348519362,0.989919030905168,0.9887777777777778,0.9863246264957135,0.9850754610428921,0.9837122371840302,0.9816037010495292,0.977179206500956,0.9742230695900858,0.972972972972973,0.9681230054106927,0.9699071207430341,0.9729093692682014,0.9821268990169795,0.9854073372041627,0.9827743305138386,0.9839946631087392,0.9777813131313131,0.9782162909567497,0.9661650554788324,0.967445205479452,0.975655073844688,0.9731261244019138,0.9755599800895969,0.9860379616963064,0.9846153846153847,0.9914466865817229,1.0003449465332874,0.9890071942446044,0.988621130879844,0.9847094801223242,0.9762473925740509,0.9779199578725645,0.9729004269616408,0.9741877585947492,0.9783808648367858,0.9881428571428571,0.9898472037712545,0.995253125,0.992913015873016,0.9913995308835027,0.9901639344262295,0.9837750087750088,0.9819871046412931,0.9714901365705615,0.9719722222222222,0.9797508648648648,0.9789142526547909,0.9836052458963934,0.9899609375,0.9883449649470113,0.9914862804909785,0.9892577711439667,0.9809551287335476,0.979720471362017,0.9739737978237979,0.9734807306672206,0.9718044444444445,0.9727357564969912,0.9767441860465116,0.9814814814814815,0.9895543392779469,0.9897810218978103,0.9866220735785953,0.9823529411764705,0.9769300777873812,0.9745021841461119,0.9721229449606862,0.970873786407767,0.9686221009549796,0.9678909168081494
5,394974,"Philadelphia, PA",Msa,0.9185898695649284,0.9142612104876255,0.9200694444444444,0.9306388353386957,0.9366614653357017,0.9412930087560791,0.93422179103010206,0.9244444444444444,0.9233610341643582,0.9176470588235294,0.9145470134324093,0.91,0.9037410676754939,0.8974358974358975,0.8980629710141865,0.9004502251125562,0.9172413793103448,0.924072984108299,0.925277991575816,0.9154826270278478,0.9081081081081082,0.9051929490233445,0.8990805067008152,0.9005371669580668,0.8932461873638344,0.8950508950508951,0.9,0.906816760475297,0.92,0.9295500784219515,0.9336445481827276,0.929409658766865,0.9230769230769231,0.9197530864197531,0.9207365892714171,0.9232367143882139,0.9173868979911481,0.9197994987468672,0.9215686274509803,0.9316037735849056,0.9411764705882353,0.9499136442141624,0.9541152639070352,0.9462502662339443,0.9420501945882657,0.9382059221057089,0.9304541124166402,0.9306654257794323,0.9285459001327478,0.9244311092060771,0.930341280972417,0.9361702127659575,0.944963676345383,0.9552969993876301,0.9523809523809523,0.948346050196366,0.9423978042552273,0.9396093043776421,0.9335333767291026,0.9282263304402542,0.9244461652499739,0.9235634341907839,0.9289121133691607,0.9443593670239918,0.9547624460104569,0.9553935926736072,0.9587328053355565,0.9516129032258065,0.9433962264150944,0.9433962264150944,0.9409392574667832,0.937605968124788,0.9307247951022021,0.9333333333333333,0.9361741964859425,0.9503344424667377,0.9612886464016628,0.965505346671266,0.9646302250803859,0.9620880167650981,0.9577867490863695,0.9552238805970149,0.950950950950951,0.95,0.946078431372549,0.942015146811601,0.9516837481698389,0.9611681329423265,0.9676016525331593,0.9719626168224299,0.9704695948827292,0.9661201628423148,0.9632144498653961,0.9615384615384616,0.9573853128744232,0.9554140127388535,0.9532710280373832,0.9503167722574192,0.9571428571428572,0.9645131938125568,0.9729019466954081,0.9775507039432452,0.975,0.9732142857142857,0.968503937007874,0.9629629629629629,0.9591836734693877,0.9564509520012772,0.9499833277759253
6,394692,"Houston, TX",Msa,0.944332171213812,0.9372916690211146,0.9494306974533555,0.9508947368421052,0.9602107438016529,0.9538123245881636,0.9441367150196223,0.9404716981132075,0.9315052631578947,0.9219512195121952,0.9117889411764706,0.9164754829123328,0.9028153146216841,0.9140290894821121,0.9184,0.9252468574124625,0.9205756524952403,0.9200974894164414,0.9133034482758621,0.9195519922605941,0.9218357142857143,0.9210224339232675,0.9190536688553088,0.920440855669395,0.9166898204168905,0.9346147267206477,0.9263655943283697,0.9303861140630535,0.9383985677944033,0.9498769230769231,0.9465009683666882,0.9542713567839196,0.9544343858909077,0.9375524377669759,0.9373516819571865,0.9365233984973473,0.9432253481170965,0.9421409637201235,0.9439199332777315,0.9484036564163092,0.9545363858857727,0.9550878089505019,0.954836754050592,0.9492559674435812,0.9565246490927765,0.9487179487179487,0.9392238095238096,0.9349247213011211,0.9417238095238095,0.9402986867148839,0.9538006368823544,0.9646057905727283,0.9655143932039628,0.9719086504124539,0.9699699914473479,0.9723384384384384,0.9638919424287024,0.9562294117647059,0.9498115151515152,0.9583333333333334,0.9722856453170261,0.9690802033676866,0.9704913191741036,0.9711984818927522,0.9778402253232621,0.9819010745685444,0.9720930232558139,0.9720435869953555,0.9655172413793104,0.9562500611450806,0.9610613132799808,0.9540673479723434,0.9564270152505446,0.9551282051282052,0.9657794676806084,0.9728031979571985,0.9709850573045118,0.9715391304347826,0.9722394736842105,0.9684808238294595,0.9607817330670094,0.9496362342991271,0.9523794871794872,0.9503856749311295,0.9503067484662576,0.9511721561696658,0.96,0.9602820426869477,0.9674794359576968,0.9642463768115942,0.9678612531759692,0.9595872464951681,0.9532888465204957,0.956285907401149,0.9574440939104916,0.9522272433828276,0.955664,0.9554770753744447,0.9604631344942571,0.969572,0.9699611596435344,0.9685380952380952,0.9666666666666667,0.9623576568670469,0.9615693163398801,0.9503288135593221,0.948509485094851,0.9469026548672567,0.9505703422053232
7,395209,"Washington, DC",Msa,0.95,0.9508950837900088,0.9532568843233937,0.9644234890698671,0.9654290091520883,0.9658502932045533,0.9617041705647742,0.9574803149606299,0.9554140127388535,0.9554551323434474,0.9552708473814341,0.951919974185221,0.9456066945606695,0.9446193739581404,0.954653937947494,0.9621380846325167,0.9638116021094745,0.9665653495440729,0.9636144578313253,0.9599919967987195,0.950354609929078,0.9474367652549894,0.95,0.9486391885134653,0.9419506766238165,0.9481932563272276,0.9567783094098884,0.9695856297203511,0.9742790335151987,0.9762062086130372,0.9741969457609269,0.9710426389170701,0.971383065257919,0.970873786407767,0.9707008215174313,0.9690990058788456,0.9662714097496706,0.9697853616030889,0.9793939393939394,0.9875,0.990379740026752,0.9944270120068677,0.9914739969609992,0.9870967741935484,0.9832747951162402,0.981417852507624,0.9764467730412003,0.9739690721649484,0.9663157894736842,0.9714736167669078,0.979706088173548,0.984997114274721,0.9884678747940692,0.9875182987162583,0.982159096814426,0.9771707771056305,0.972,0.9707317073170731,0.9674880709020157,0.961057520543051,0.9595854355179214,0.9644339667571558,0.975020312940114,0.9825581395348837,0.9863670033670033,0.9850746268656716,0.9807692307692307,0.9766187050359713,0.9722276234867971,0.9705882352941176,0.9687451156611442,0.9645484949832775,0.9629032258064516,0.96442,0.9753047827446076,0.9845789690775755,0.9883305548940224,0.9864077669902913,0.9859959988568162,0.9803921568627451,0.9770733959070627,0.9776207302709069,0.9759547046540586,0.9712484776271586,0.9709521283850339,0.9739016963897347,0.9837555285681217,0.9919839679358717,0.9926144111711122,0.9921259842519685,0.9884647066278038,0.983957219251337,0.9826589595375722,0.9821463648084457,0.9803921568627451,0.9748326167013817,0.9733499164221695,0.9787050978705097,0.9888703394546466,0.9998083123217065,1,1,0.9938742342792849,0.987524688117203,0.9838853944255295,0.9818181818181818,0.9787050978705097,0.9738622234517524,0.9744589256365157
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.8772698329051665,0.866811159275314,0.8705701078582434,0.8672086720867209,0.8858447488584474,0.8927372962607862,0.9066666666666666,0.9120574646680453,0.906816760475297,0.9047619047619048,0.90625,0.9038089089735313,0.9060402684563759,0.904604436000495,0.8929702343255225,0.8945260347129506,0.8952108894737314,0.8992707597420802,0.9032795997776543,0.9129496402877698,0.9157213634825575,0.9095790047919299,0.9142857142857143,0.9169381921737199,0.9195790088552064,0.9197619047619048,0.9180026070848675,0.9200092000920009,0.9241634010882129,0.9288333630391037,0.93391185305902,0.9382267115600449,0.9383642227569591,0.9422999910545656,0.9422222222222222,0.9393939393939394,0.9417304296645085,0.9375,0.9371216807405884,0.9403761504601841,0.9428571428571428,0.9425287356321839,0.949586556415044,0.9523809523809523,0.9518877326846206,0.9503312706109233,0.9486422342421901,0.9454949944382648,0.9433962264150944,0.9403176838810642,0.9380863039399625,0.9368421052631579,0.9386733416770964,0.9426074608981161,0.940432201694124,0.9409130992464325,0.941320293398533,0.9403508771929825,0.9372621373272556,0.9371643933955491,0.9347826086956522,0.9338918152248545,0.9347826086956522,0.9358710251882707,0.9428571428571428,0.9455268668466396,0.9448217317487266,0.9442050596734499,0.944954128440367,0.9433962264150944,0.9433962264150944,0.9418010037651503,0.9399141630901288,0.9384615384615385,0.9420591913297207,0.9411764705882353,0.9426411738550466,0.9461777611412647,0.9466666666666667,0.946856263417187,0.9454949944382648,0.9445079248897563,0.9439024390243902,0.9423076923076923,0.9384615384615385,0.9393939393939394,0.9391537683752043,0.9404388714733543,0.9414533686378347,0.9418307794739733,0.9414255827854154,0.9446260314080384,0.9433962264150944,0.943976401179941,0.9411764705882353,0.9418837675350702,0.9389671361502347,0.9410492157923201,0.9422222222222222,0.9433962264150944,0.942652329749104,0.9453781512605042,0.9448766392531673,0.9470899470899471,0.9428840824023543,0.9416682361163426,0.9418729817007535,0.9389158824855977,0.9353448275862069
9,394347,"Atlanta, GA",Msa,0.8773288855942674,0.874819072649331,0.8786666666666667,0.8898887651696641,0.8931374582358576,0.9082345322414285,0.9035172636334301,0.9003086802025755,0.8896530507212417,0.8910208316705244,0.8730101908253702,0.8754863813229572,0.868995633187773,0.8571428571428571,0.8695652173913043,0.8769230769230769,0.891566265060241,0.893563282113814,0.8884172225591267,0.8998998998998999,0.8877219304826206,0.8928571428571429,0.9050920450961841,0.9007936507936508,0.9043478260869565,0.8976660682226212,0.9141494435612083,0.9322033898305084,0.9361702127659575,0.9380863039399625,0.939183987682833,0.9435310936383131,0.9418837675350702,0.9454949944382648,0.9444735957637989,0.9487179487179487,0.9447397113670837,0.9544642418748701,0.9565217391304348,0.9624572892938497,0.9619724669031932,0.9627329192546584,0.963195137351603,0.9629629629629629,0.9595667659251474,0.957827203065134,0.9545454545454546,0.9516053978594695,0.9533468559837728,0.952,0.9565217391304348,0.963302752293578,0.9663333333333334,0.9652736904061212,0.9626865671641791,0.9578407127148839,0.9537760022041604,0.9511528305054384,0.9487377001379587,0.9480241700236144,0.9485257545542866,0.9506790564689064,0.9612875163114397,0.9646094920928288,0.9699881728509325,0.9697385947385948,0.967741935483871,0.9636517328825022,0.9614285714285714,0.957511283043198,0.9568553875584005,0.9553264522381151,0.9550257142857143,0.9596146721007781,0.9661744942065308,0.9734513274336283,0.9782608695652174,0.978441127694859,0.9763927030039483,0.9739826551034023,0.9703153988868275,0.9696036937283571,0.968421052631579,0.9658261974435571,0.9666681801374664,0.9674763277068753,0.9754877438719359,0.9793388429752066,0.9824937477670597,0.9814895514242079,0.9798,0.975941997407433,0.9736842105263158,0.9711595055915244,0.9712230215827338,0.9711595055915244,0.9699898955536954,0.9759036144578314,0.98,0.9869956652217405,0.9888169511477339,0.987012987012987,0.9853095326180787,0.9800647568713429,0.9775219298245614,0.972972972972973,0.9716283382783424,0.970222906784288,0.9665227733239362
